MEM,Memory MB TI6304006020866,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
MEM,T0001,15677.5,-0.0,-0.0,1956.0,6966.1,-0.0,-0.0,1956.0,177.9,4296.0,3078.2,-1.0,395.4,0.0,3253.3
MEM,T0002,15677.5,-0.0,-0.0,1956.0,6643.2,-0.0,-0.0,1956.0,161.9,4280.0,3392.0,-1.0,395.4,0.0,3253.3
MEM,T0003,15677.5,-0.0,-0.0,1956.0,6392.3,-0.0,-0.0,1956.0,157.9,4276.2,3557.2,-1.0,395.4,0.0,3253.5
MEM,T0004,15677.5,-0.0,-0.0,1956.0,6146.7,-0.0,-0.0,1956.0,157.9,4277.7,3629.4,-1.0,395.4,0.0,3255.0
MEM,T0005,15677.5,-0.0,-0.0,1956.0,5840.8,-0.0,-0.0,1956.0,157.9,4278.8,3735.1,-1.0,395.4,0.0,3256.1
MEM,T0006,15677.5,-0.0,-0.0,1956.0,5765.7,-0.0,-0.0,1956.0,155.9,4277.7,3768.9,-1.0,395.4,0.0,3257.0
MEM,T0007,15677.5,-0.0,-0.0,1956.0,5560.4,-0.0,-0.0,1956.0,155.9,4278.1,3839.2,-1.0,395.4,0.0,3257.4
MEM,T0008,15677.5,-0.0,-0.0,1956.0,5361.5,-0.0,-0.0,1956.0,155.9,4279.4,3913.2,-1.0,395.4,0.0,3258.7
MEM,T0009,15677.5,-0.0,-0.0,1956.0,5195.4,-0.0,-0.0,1956.0,163.9,4288.4,3972.9,-1.0,395.4,0.0,3259.6
MEM,T0010,15677.5,-0.0,-0.0,1956.0,5078.4,-0.0,-0.0,1956.0,163.9,4289.2,4019.3,-1.0,395.4,0.0,3260.5
MEM,T0011,15677.5,-0.0,-0.0,1956.0,5040.3,-0.0,-0.0,1956.0,163.9,4289.8,4049.4,-1.0,395.4,0.0,3261.0
MEM,T0012,15677.5,-0.0,-0.0,1956.0,5026.7,-0.0,-0.0,1956.0,163.9,4290.0,4072.3,-1.0,395.4,0.0,3261.3
MEM,T0013,15677.5,-0.0,-0.0,1956.0,5003.2,-0.0,-0.0,1956.0,163.9,4290.1,4093.8,-1.0,395.4,0.0,3261.4
MEM,T0014,15677.5,-0.0,-0.0,1956.0,4996.0,-0.0,-0.0,1956.0,163.9,4290.2,4100.3,-1.0,395.4,0.0,3261.5
MEM,T0015,15677.5,-0.0,-0.0,1956.0,4996.0,-0.0,-0.0,1956.0,163.9,4290.2,4101.9,-1.0,395.4,0.0,3261.5
MEM,T0016,15677.5,-0.0,-0.0,1956.0,4995.5,-0.0,-0.0,1956.0,163.9,4290.2,4103.0,-1.0,395.4,0.0,3261.5
MEM,T0017,15677.5,-0.0,-0.0,1956.0,4995.5,-0.0,-0.0,1956.0,163.9,4290.2,4104.2,-1.0,395.4,0.0,3261.5
