CPU_ALL,CPU Total TI6304006020866,User%,Sys%,Wait%
CPU_ALL,T0001,23.4,3.7,0.9
CPU_ALL,T0002,7.9,0.7,0.0
CPU_ALL,T0003,10.7,2.6,0.0
CPU_ALL,T0004,18.2,9.2,0.0
CPU_ALL,T0005,20.3,12.6,0.9
CPU_ALL,T0006,18.4,11.7,0.0
CPU_ALL,T0007,23.7,17.0,0.0
CPU_ALL,T0008,19.5,15.6,0.0
CPU_ALL,T0009,22.2,27.4,0.0
CPU_ALL,T0010,18.9,30.1,0.7
CPU_ALL,T0011,19.7,65.3,0.0
CPU_ALL,T0012,25.5,67.8,0.0
CPU_ALL,T0013,22.9,72.5,0.0
CPU_ALL,T0014,21.1,77.3,0.0
CPU_ALL,T0015,21.8,74.3,0.0
CPU_ALL,T0016,21.0,76.5,0.0
CPU_ALL,T0017,21.5,76.5,0.0
CPU_ALL,T0018,21.3,77.4,0.0
CPU_ALL,T0019,21.7,77.2,0.0
CPU_ALL,T0020,21.5,76.9,0.0
CPU_ALL,T0021,22.0,76.4,0.0
CPU_ALL,T0022,21.0,77.5,0.0
CPU_ALL,T0023,21.3,78.2,0.0
CPU_ALL,T0024,21.1,78.4,0.0
CPU_ALL,T0025,21.4,78.1,0.0
CPU_ALL,T0026,21.2,78.1,0.0
CPU_ALL,T0027,21.3,77.6,0.0
CPU_ALL,T0028,21.2,78.6,0.0
CPU_ALL,T0029,19.5,77.3,0.0
CPU_ALL,T0030,20.9,77.4,0.1
CPU_ALL,T0031,20.4,78.5,0.0
CPU_ALL,T0032,19.9,77.9,0.0
CPU_ALL,T0033,21.0,77.7,0.0
CPU_ALL,T0034,20.4,77.3,0.0
CPU_ALL,T0035,21.3,77.3,0.0
CPU_ALL,T0036,22.1,76.3,0.0
CPU_ALL,T0037,20.3,78.2,0.0
CPU_ALL,T0038,23.7,72.9,0.0
CPU_ALL,T0039,25.4,73.8,0.0
CPU_ALL,T0040,23.8,75.4,0.0
CPU_ALL,T0041,22.9,74.1,0.0
CPU_ALL,T0042,20.4,78.3,0.0
CPU_ALL,T0043,21.0,77.9,0.0
CPU_ALL,T0044,21.1,77.8,0.0
CPU_ALL,T0045,23.6,73.9,0.0
CPU_ALL,T0046,22.4,74.1,0.0
CPU_ALL,T0047,19.8,78.1,0.0
CPU_ALL,T0048,22.7,76.4,0.0
CPU_ALL,T0049,25.1,74.1,0.0
CPU_ALL,T0050,23.7,75.4,0.0
CPU_ALL,T0051,22.5,75.4,0.0
CPU_ALL,T0052,23.4,75.8,0.0
CPU_ALL,T0053,21.5,77.4,0.0
CPU_ALL,T0054,21.3,78.1,0.0
CPU_ALL,T0055,21.5,77.2,0.0
CPU_ALL,T0056,21.6,77.8,0.0
CPU_ALL,T0057,20.9,77.7,0.0
CPU_ALL,T0058,19.6,78.4,0.0
CPU_ALL,T0059,19.4,79.0,0.0
CPU_ALL,T0060,21.4,78.2,0.0
CPU_ALL,T0061,21.3,78.0,0.0
CPU_ALL,T0062,20.4,78.1,0.0
CPU_ALL,T0063,20.7,77.9,0.0
CPU_ALL,T0064,21.0,77.6,0.0
CPU_ALL,T0065,20.5,78.2,0.0
CPU_ALL,T0066,21.2,77.4,0.0
CPU_ALL,T0067,21.3,77.3,0.0
CPU_ALL,T0068,19.3,78.1,0.0
CPU_ALL,T0069,20.6,77.9,0.0
CPU_ALL,T0070,25.5,72.1,0.1
CPU_ALL,T0071,28.2,69.8,0.0
CPU_ALL,T0072,29.2,69.0,0.0
CPU_ALL,T0073,28.5,70.6,0.0
CPU_ALL,T0074,29.5,69.3,0.0
CPU_ALL,T0075,29.1,69.3,0.1
CPU_ALL,T0076,29.3,69.5,0.0
CPU_ALL,T0077,28.7,69.8,0.0
CPU_ALL,T0078,29.2,68.9,0.0
CPU_ALL,T0079,28.8,69.3,0.0
CPU_ALL,T0080,28.9,69.4,0.0
CPU_ALL,T0081,29.3,69.0,0.0
CPU_ALL,T0082,29.2,69.5,0.0
CPU_ALL,T0083,29.4,69.4,0.0
CPU_ALL,T0084,29.0,69.6,0.0
CPU_ALL,T0085,28.7,69.3,0.0
CPU_ALL,T0086,29.4,68.9,0.0
CPU_ALL,T0087,28.9,69.9,0.0
CPU_ALL,T0088,28.6,69.8,0.0
CPU_ALL,T0089,30.2,68.4,0.0
CPU_ALL,T0090,28.5,70.2,0.0
CPU_ALL,T0091,28.8,69.6,0.0
CPU_ALL,T0092,29.5,68.4,0.0
CPU_ALL,T0093,29.6,69.2,0.0
CPU_ALL,T0094,29.6,69.7,0.0
CPU_ALL,T0095,28.7,69.9,0.0
CPU_ALL,T0096,29.0,69.7,0.0
CPU_ALL,T0097,29.4,68.9,0.0
CPU_ALL,T0098,28.8,69.0,0.0
