MEM,Memory MB TI6304006020866,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
MEM,T0001,15677.5,-0.0,-0.0,1956.0,7099.1,-0.0,-0.0,1956.0,183.9,4289.6,2959.9,-1.0,393.8,0.0,3239.4
MEM,T0002,15677.5,-0.0,-0.0,1956.0,6807.8,-0.0,-0.0,1956.0,183.9,4289.6,3258.0,-1.0,393.8,0.0,3239.4
MEM,T0003,15677.5,-0.0,-0.0,1956.0,6496.0,-0.0,-0.0,1956.0,155.9,4261.6,3538.7,-1.0,393.8,0.0,3239.4
MEM,T0004,15677.5,-0.0,-0.0,1956.0,6279.0,-0.0,-0.0,1956.0,156.4,4263.1,3596.0,-1.0,393.8,0.0,3240.4
MEM,T0005,15677.5,-0.0,-0.0,1956.0,5965.6,-0.0,-0.0,1956.0,156.4,4264.4,3703.6,-1.0,393.8,0.0,3241.6
MEM,T0006,15677.5,-0.0,-0.0,1956.0,5786.8,-0.0,-0.0,1956.0,156.2,4265.2,3771.8,-1.0,393.8,0.0,3242.7
MEM,T0007,15677.5,-0.0,-0.0,1956.0,5670.1,-0.0,-0.0,1956.0,155.9,4265.4,3817.4,-1.0,393.8,0.0,3243.2
MEM,T0008,15677.5,-0.0,-0.0,1956.0,5435.0,-0.0,-0.0,1956.0,155.9,4266.6,3903.4,-1.0,393.8,0.0,3244.3
MEM,T0009,15677.5,-0.0,-0.0,1956.0,5297.0,-0.0,-0.0,1956.0,155.9,4267.6,3970.4,-1.0,393.8,0.0,3245.4
MEM,T0010,15677.5,-0.0,-0.0,1956.0,5134.0,-0.0,-0.0,1956.0,164.4,4277.0,4018.0,-1.0,393.8,0.0,3246.3
MEM,T0011,15677.5,-0.0,-0.0,1956.0,5077.8,-0.0,-0.0,1956.0,164.4,4277.7,4051.9,-1.0,393.8,0.0,3247.0
MEM,T0012,15677.5,-0.0,-0.0,1956.0,5055.6,-0.0,-0.0,1956.0,164.4,4278.0,4076.2,-1.0,393.8,0.0,3247.3
MEM,T0013,15677.5,-0.0,-0.0,1956.0,5036.4,-0.0,-0.0,1956.0,164.4,4278.1,4086.8,-1.0,393.8,0.0,3247.4
MEM,T0014,15677.5,-0.0,-0.0,1956.0,5036.2,-0.0,-0.0,1956.0,164.4,4278.1,4088.9,-1.0,393.8,0.0,3247.4
MEM,T0015,15677.5,-0.0,-0.0,1956.0,5035.5,-0.0,-0.0,1956.0,164.4,4278.1,4089.9,-1.0,393.8,0.0,3247.4
