MEM,Memory MB TI6304006020866,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
MEM,T0001,15677.5,-0.0,-0.0,1956.0,6326.3,-0.0,-0.0,1956.0,202.1,5365.5,2980.3,-1.0,39.4,0.0,3933.3
MEM,T0002,15677.5,-0.0,-0.0,1956.0,6023.2,-0.0,-0.0,1956.0,156.1,5319.5,3302.6,-1.0,39.4,0.0,3933.3
MEM,T0003,15677.5,-0.0,-0.0,1956.0,5727.8,-0.0,-0.0,1956.0,156.1,5319.8,3509.5,-1.0,39.4,0.0,3933.6
MEM,T0004,15677.5,-0.0,-0.0,1956.0,5497.8,-0.0,-0.0,1956.0,156.1,5321.2,3573.3,-1.0,39.4,0.0,3935.0
MEM,T0005,15677.5,-0.0,-0.0,1956.0,5206.3,-0.0,-0.0,1956.0,156.1,5322.4,3673.6,-1.0,39.4,0.0,3936.2
MEM,T0006,15677.5,-0.0,-0.0,1956.0,5132.5,-0.0,-0.0,1956.0,156.1,5323.1,3711.5,-1.0,39.4,0.0,3936.9
MEM,T0007,15677.5,-0.0,-0.0,1956.0,4915.9,-0.0,-0.0,1956.0,156.1,5324.0,3784.5,-1.0,39.4,0.0,3937.8
MEM,T0008,15677.5,-0.0,-0.0,1956.0,4694.8,-0.0,-0.0,1956.0,156.1,5325.2,3858.0,-1.0,39.4,0.0,3939.0
MEM,T0009,15677.5,-0.0,-0.0,1956.0,4544.7,-0.0,-0.0,1956.0,156.1,5326.1,3932.2,-1.0,39.4,0.0,3939.9
MEM,T0010,15677.5,-0.0,-0.0,1956.0,4420.5,-0.0,-0.0,1956.0,164.1,5335.0,3972.6,-1.0,39.4,0.0,3940.8
MEM,T0011,15677.5,-0.0,-0.0,1956.0,4370.9,-0.0,-0.0,1956.0,164.1,5335.4,4002.9,-1.0,39.4,0.0,3941.1
MEM,T0012,15677.5,-0.0,-0.0,1956.0,4347.6,-0.0,-0.0,1956.0,164.1,5335.5,4026.5,-1.0,39.4,0.0,3941.3
MEM,T0013,15677.5,-0.0,-0.0,1956.0,4322.7,-0.0,-0.0,1956.0,164.1,5335.6,4045.0,-1.0,39.4,0.0,3941.4
MEM,T0014,15677.5,-0.0,-0.0,1956.0,4321.5,-0.0,-0.0,1956.0,164.1,5335.6,4046.9,-1.0,39.4,0.0,3941.4
MEM,T0015,15677.5,-0.0,-0.0,1956.0,4312.6,-0.0,-0.0,1956.0,164.1,5335.6,4048.6,-1.0,39.4,0.0,3941.4
MEM,T0016,15677.5,-0.0,-0.0,1956.0,4312.4,-0.0,-0.0,1956.0,164.1,5335.6,4049.3,-1.0,39.4,0.0,3941.4
MEM,T0017,15677.5,-0.0,-0.0,1956.0,4312.7,-0.0,-0.0,1956.0,164.1,5335.7,4050.3,-1.0,39.4,0.0,3941.5
MEM,T0018,15677.5,-0.0,-0.0,1956.0,4322.0,-0.0,-0.0,1956.0,164.1,5335.7,4051.4,-1.0,39.4,0.0,3941.5
MEM,T0019,15677.5,-0.0,-0.0,1956.0,4331.1,-0.0,-0.0,1956.0,164.0,5335.6,4053.2,-1.0,39.4,0.0,3941.5
MEM,T0020,15677.5,-0.0,-0.0,1956.0,4334.4,-0.0,-0.0,1956.0,164.0,5335.6,4054.4,-1.0,39.4,0.0,3941.5
MEM,T0021,15677.5,-0.0,-0.0,1956.0,4337.8,-0.0,-0.0,1956.0,164.0,5335.6,4056.8,-1.0,39.4,0.0,3941.5
MEM,T0022,15677.5,-0.0,-0.0,1956.0,4334.8,-0.0,-0.0,1956.0,164.0,5335.6,4058.4,-1.0,39.4,0.0,3941.5
MEM,T0023,15677.5,-0.0,-0.0,1956.0,4336.3,-0.0,-0.0,1956.0,164.0,5335.6,4059.8,-1.0,39.4,0.0,3941.5
MEM,T0024,15677.5,-0.0,-0.0,1956.0,4335.3,-0.0,-0.0,1956.0,164.0,5335.6,4060.3,-1.0,39.4,0.0,3941.5
MEM,T0025,15677.5,-0.0,-0.0,1956.0,4326.4,-0.0,-0.0,1956.0,164.0,5335.6,4060.7,-1.0,39.5,0.0,3941.5
MEM,T0026,15677.5,-0.0,-0.0,1956.0,4329.1,-0.0,-0.0,1956.0,164.0,5335.6,4062.7,-1.0,39.5,0.0,3941.5
MEM,T0027,15677.5,-0.0,-0.0,1956.0,4332.7,-0.0,-0.0,1956.0,164.0,5335.6,4063.6,-1.0,39.5,0.0,3941.5
MEM,T0028,15677.5,-0.0,-0.0,1956.0,4334.9,-0.0,-0.0,1956.0,164.0,5335.6,4064.9,-1.0,39.5,0.0,3941.5
MEM,T0029,15677.5,-0.0,-0.0,1956.0,4340.2,-0.0,-0.0,1956.0,164.0,5335.6,4066.0,-1.0,39.5,0.0,3941.5
MEM,T0030,15677.5,-0.0,-0.0,1956.0,4342.2,-0.0,-0.0,1956.0,164.0,5335.6,4067.5,-1.0,39.5,0.0,3941.5
MEM,T0031,15677.5,-0.0,-0.0,1956.0,4347.2,-0.0,-0.0,1956.0,164.0,5335.7,4068.1,-1.0,39.5,0.0,3941.5
MEM,T0032,15677.5,-0.0,-0.0,1956.0,4347.5,-0.0,-0.0,1956.0,164.0,5335.7,4069.1,-1.0,39.5,0.0,3941.5
MEM,T0033,15677.5,-0.0,-0.0,1956.0,4348.0,-0.0,-0.0,1956.0,164.0,5335.7,4070.0,-1.0,39.5,0.0,3941.6
MEM,T0034,15677.5,-0.0,-0.0,1956.0,4347.4,-0.0,-0.0,1956.0,164.0,5335.7,4070.8,-1.0,39.5,0.0,3941.6
MEM,T0035,15677.5,-0.0,-0.0,1956.0,4347.2,-0.0,-0.0,1956.0,164.0,5335.7,4071.3,-1.0,39.5,0.0,3941.6
MEM,T0036,15677.5,-0.0,-0.0,1956.0,4346.9,-0.0,-0.0,1956.0,164.0,5335.7,4072.6,-1.0,39.5,0.0,3941.6
MEM,T0037,15677.5,-0.0,-0.0,1956.0,4346.5,-0.0,-0.0,1956.0,164.0,5335.7,4073.3,-1.0,39.5,0.0,3941.6
MEM,T0038,15677.5,-0.0,-0.0,1956.0,4345.7,-0.0,-0.0,1956.0,164.0,5335.7,4074.3,-1.0,39.5,0.0,3941.6
MEM,T0039,15677.5,-0.0,-0.0,1956.0,4344.6,-0.0,-0.0,1956.0,164.0,5335.7,4076.3,-1.0,39.5,0.0,3941.6
MEM,T0040,15677.5,-0.0,-0.0,1956.0,4345.2,-0.0,-0.0,1956.0,164.0,5335.7,4076.9,-1.0,39.5,0.0,3941.6
MEM,T0041,15677.5,-0.0,-0.0,1956.0,4343.0,-0.0,-0.0,1956.0,164.0,5335.7,4077.9,-1.0,39.5,0.0,3941.6
MEM,T0042,15677.5,-0.0,-0.0,1956.0,4339.9,-0.0,-0.0,1956.0,164.0,5335.7,4079.4,-1.0,39.5,0.0,3941.6
MEM,T0043,15677.5,-0.0,-0.0,1956.0,4339.6,-0.0,-0.0,1956.0,164.0,5335.7,4081.1,-1.0,39.5,0.0,3941.6
MEM,T0044,15677.5,-0.0,-0.0,1956.0,4340.6,-0.0,-0.0,1956.0,164.0,5335.7,4081.6,-1.0,39.5,0.0,3941.6
MEM,T0045,15677.5,-0.0,-0.0,1956.0,4340.3,-0.0,-0.0,1956.0,164.0,5335.7,4082.2,-1.0,39.5,0.0,3941.6
MEM,T0046,15677.5,-0.0,-0.0,1956.0,4337.8,-0.0,-0.0,1956.0,164.0,5335.7,4083.6,-1.0,39.5,0.0,3941.6
MEM,T0047,15677.5,-0.0,-0.0,1956.0,4335.8,-0.0,-0.0,1956.0,164.0,5335.7,4085.7,-1.0,39.5,0.0,3941.6
MEM,T0048,15677.5,-0.0,-0.0,1956.0,4334.9,-0.0,-0.0,1956.0,164.0,5335.7,4087.3,-1.0,39.5,0.0,3941.6
MEM,T0049,15677.5,-0.0,-0.0,1956.0,4334.8,-0.0,-0.0,1956.0,164.0,5335.7,4087.6,-1.0,39.5,0.0,3941.6
MEM,T0050,15677.5,-0.0,-0.0,1956.0,4332.0,-0.0,-0.0,1956.0,164.0,5335.7,4088.4,-1.0,39.5,0.0,3941.6
MEM,T0051,15677.5,-0.0,-0.0,1956.0,4332.0,-0.0,-0.0,1956.0,164.0,5335.7,4089.1,-1.0,39.5,0.0,3941.7
MEM,T0052,15677.5,-0.0,-0.0,1956.0,4331.7,-0.0,-0.0,1956.0,164.0,5335.7,4089.9,-1.0,39.5,0.0,3941.7
MEM,T0053,15677.5,-0.0,-0.0,1956.0,4331.5,-0.0,-0.0,1956.0,164.0,5335.7,4090.5,-1.0,39.5,0.0,3941.7
MEM,T0054,15677.5,-0.0,-0.0,1956.0,4330.7,-0.0,-0.0,1956.0,164.0,5335.8,4091.8,-1.0,39.5,0.0,3941.7
MEM,T0055,15677.5,-0.0,-0.0,1956.0,4329.6,-0.0,-0.0,1956.0,164.0,5335.8,4092.8,-1.0,39.5,0.0,3941.7
MEM,T0056,15677.5,-0.0,-0.0,1956.0,4329.3,-0.0,-0.0,1956.0,164.0,5335.8,4093.2,-1.0,39.5,0.0,3941.7
MEM,T0057,15677.5,-0.0,-0.0,1956.0,4331.4,-0.0,-0.0,1956.0,164.0,5335.8,4093.5,-1.0,39.5,0.0,3941.7
MEM,T0058,15677.5,-0.0,-0.0,1956.0,4329.9,-0.0,-0.0,1956.0,164.0,5335.8,4094.2,-1.0,39.5,0.0,3941.7
MEM,T0059,15677.5,-0.0,-0.0,1956.0,4329.9,-0.0,-0.0,1956.0,164.0,5335.8,4094.9,-1.0,39.5,0.0,3941.7
MEM,T0060,15677.5,-0.0,-0.0,1956.0,4329.2,-0.0,-0.0,1956.0,164.0,5335.8,4096.0,-1.0,39.5,0.0,3941.7
MEM,T0061,15677.5,-0.0,-0.0,1956.0,4328.7,-0.0,-0.0,1956.0,164.0,5335.8,4097.3,-1.0,39.5,0.0,3941.7
MEM,T0062,15677.5,-0.0,-0.0,1956.0,4328.5,-0.0,-0.0,1956.0,164.0,5335.8,4097.7,-1.0,39.5,0.0,3941.7
MEM,T0063,15677.5,-0.0,-0.0,1956.0,4326.5,-0.0,-0.0,1956.0,164.0,5335.8,4099.1,-1.0,39.5,0.0,3941.7
MEM,T0064,15677.5,-0.0,-0.0,1956.0,4324.6,-0.0,-0.0,1956.0,164.0,5335.8,4100.8,-1.0,39.5,0.0,3941.7
MEM,T0065,15677.5,-0.0,-0.0,1956.0,4324.6,-0.0,-0.0,1956.0,164.0,5335.8,4102.0,-1.0,39.5,0.0,3941.7
MEM,T0066,15677.5,-0.0,-0.0,1956.0,4324.1,-0.0,-0.0,1956.0,164.0,5335.8,4102.6,-1.0,39.5,0.0,3941.7
