CPU_ALL,CPU Total TI6304006020866,User%,Sys%,Wait%
CPU_ALL,T0001,18.9,16.2,0.3
CPU_ALL,T0002,25.5,66.8,0.0
CPU_ALL,T0003,24.0,71.2,0.0
CPU_ALL,T0004,21.7,76.1,0.0
CPU_ALL,T0005,21.0,76.6,0.0
CPU_ALL,T0006,22.0,76.6,0.0
CPU_ALL,T0007,21.2,76.9,0.0
CPU_ALL,T0008,20.9,77.1,0.0
CPU_ALL,T0009,22.5,75.4,0.0
CPU_ALL,T0010,21.4,75.4,0.0
CPU_ALL,T0011,21.7,77.0,0.0
CPU_ALL,T0012,21.0,74.9,0.0
CPU_ALL,T0013,21.0,77.8,0.0
CPU_ALL,T0014,21.1,78.2,0.0
CPU_ALL,T0015,21.4,77.5,0.0
CPU_ALL,T0016,20.8,77.7,0.0
CPU_ALL,T0017,20.2,78.9,0.0
CPU_ALL,T0018,21.2,78.0,0.0
CPU_ALL,T0019,20.5,77.9,0.0
CPU_ALL,T0020,20.9,77.2,0.0
CPU_ALL,T0021,20.1,78.5,0.0
CPU_ALL,T0022,21.2,78.2,0.0
CPU_ALL,T0023,21.6,77.9,0.0
CPU_ALL,T0024,20.5,77.7,0.0
CPU_ALL,T0025,21.0,76.8,0.0
CPU_ALL,T0026,20.6,78.1,0.0
CPU_ALL,T0027,21.7,77.2,0.0
CPU_ALL,T0028,21.3,77.5,0.0
CPU_ALL,T0029,21.7,77.6,0.0
CPU_ALL,T0030,21.8,77.3,0.0
CPU_ALL,T0031,20.7,77.4,0.0
CPU_ALL,T0032,21.1,76.5,0.0
CPU_ALL,T0033,20.7,77.2,0.0
CPU_ALL,T0034,21.2,77.4,0.0
CPU_ALL,T0035,20.9,77.1,0.0
CPU_ALL,T0036,20.3,77.1,0.0
CPU_ALL,T0037,21.7,78.2,0.0
CPU_ALL,T0038,20.8,77.8,0.0
CPU_ALL,T0039,21.5,77.8,0.0
CPU_ALL,T0040,21.5,77.2,0.0
CPU_ALL,T0041,20.4,77.1,0.0
CPU_ALL,T0042,20.5,79.0,0.0
CPU_ALL,T0043,20.7,77.0,0.0
CPU_ALL,T0044,20.7,77.8,0.0
CPU_ALL,T0045,21.0,78.3,0.0
CPU_ALL,T0046,21.7,78.0,0.0
CPU_ALL,T0047,22.0,77.5,0.0
CPU_ALL,T0048,21.1,78.1,0.0
CPU_ALL,T0049,20.0,78.4,0.0
CPU_ALL,T0050,21.6,77.9,0.0
CPU_ALL,T0051,20.9,77.7,0.0
CPU_ALL,T0052,21.9,77.2,0.0
CPU_ALL,T0053,19.8,78.4,0.0
CPU_ALL,T0054,20.1,78.4,0.0
CPU_ALL,T0055,19.7,75.8,0.0
CPU_ALL,T0056,21.1,77.8,0.0
CPU_ALL,T0057,21.6,78.0,0.0
CPU_ALL,T0058,20.8,77.4,0.0
CPU_ALL,T0059,23.1,74.6,0.0
CPU_ALL,T0060,24.7,73.2,0.1
CPU_ALL,T0061,28.6,69.7,0.0
CPU_ALL,T0062,28.4,69.8,0.0
CPU_ALL,T0063,28.9,65.5,0.0
CPU_ALL,T0064,28.1,70.2,0.0
CPU_ALL,T0065,28.6,69.3,0.1
CPU_ALL,T0066,28.3,70.4,0.0
CPU_ALL,T0067,29.4,69.7,0.0
CPU_ALL,T0068,29.4,69.3,0.0
CPU_ALL,T0069,29.4,69.2,0.0
CPU_ALL,T0070,29.1,69.6,0.0
CPU_ALL,T0071,29.4,68.1,0.0
CPU_ALL,T0072,29.6,69.6,0.0
CPU_ALL,T0073,28.5,69.8,0.0
CPU_ALL,T0074,29.3,69.6,0.0
CPU_ALL,T0075,29.1,69.6,0.0
CPU_ALL,T0076,30.1,68.9,0.0
CPU_ALL,T0077,29.9,69.1,0.0
CPU_ALL,T0078,29.1,69.0,0.0
CPU_ALL,T0079,30.0,68.6,0.0
CPU_ALL,T0080,29.1,69.1,0.1
CPU_ALL,T0081,29.3,69.2,0.0
CPU_ALL,T0082,29.0,69.7,0.0
CPU_ALL,T0083,28.9,69.6,0.0
CPU_ALL,T0084,29.2,69.3,0.0
CPU_ALL,T0085,29.5,69.2,0.0
CPU_ALL,T0086,28.4,70.1,0.0
CPU_ALL,T0087,28.9,69.7,0.0
CPU_ALL,T0088,29.2,68.9,0.0
CPU_ALL,T0089,29.6,69.0,0.0
CPU_ALL,T0090,29.9,67.8,0.0
CPU_ALL,T0091,29.7,68.8,0.0
CPU_ALL,T0092,29.2,69.2,0.0
CPU_ALL,T0093,29.2,69.5,0.0
CPU_ALL,T0094,29.9,69.3,0.0
CPU_ALL,T0095,29.5,69.2,0.0
CPU_ALL,T0096,30.1,68.7,0.0
CPU_ALL,T0097,29.2,68.9,0.0
CPU_ALL,T0098,29.3,69.0,0.0
CPU_ALL,T0099,30.0,67.8,0.0
CPU_ALL,T0100,29.7,69.2,0.1
CPU_ALL,T0101,29.4,69.4,0.0
CPU_ALL,T0102,28.8,70.1,0.0
CPU_ALL,T0103,29.7,68.4,0.0
CPU_ALL,T0104,29.4,69.1,0.0
CPU_ALL,T0105,29.5,69.2,0.1
CPU_ALL,T0106,29.2,69.6,0.0
CPU_ALL,T0107,29.2,69.6,0.0
CPU_ALL,T0108,29.8,68.3,0.0
CPU_ALL,T0109,29.7,67.8,0.0
CPU_ALL,T0110,29.2,69.4,0.0
CPU_ALL,T0111,29.1,69.3,0.0
CPU_ALL,T0112,28.9,68.3,0.0
CPU_ALL,T0113,29.2,68.1,0.0
CPU_ALL,T0114,29.0,68.8,0.0
CPU_ALL,T0115,29.4,68.4,0.0
CPU_ALL,T0116,29.3,69.3,0.0
CPU_ALL,T0117,29.6,69.3,0.0
CPU_ALL,T0118,28.6,69.0,0.0
CPU_ALL,T0119,29.5,68.4,0.0
CPU_ALL,T0120,23.0,73.2,0.0
CPU_ALL,T0121,20.5,77.2,0.0
CPU_ALL,T0122,20.6,75.8,0.0
CPU_ALL,T0123,20.3,77.6,0.0
CPU_ALL,T0124,20.9,75.9,0.0
CPU_ALL,T0125,21.5,76.5,0.1
CPU_ALL,T0126,19.8,77.6,0.0
CPU_ALL,T0127,19.9,77.5,0.0
CPU_ALL,T0128,20.0,77.9,0.0
