MEM,Memory MB TI6304006020866,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
MEM,T0001,15677.5,-0.0,-0.0,1956.0,6340.2,-0.0,-0.0,1956.0,196.0,5332.1,2998.7,-1.0,36.7,0.0,3903.7
MEM,T0002,15677.5,-0.0,-0.0,1956.0,6002.1,-0.0,-0.0,1956.0,196.0,5332.1,3334.7,-1.0,36.7,0.0,3903.7
MEM,T0003,15677.5,-0.0,-0.0,1956.0,5765.0,-0.0,-0.0,1956.0,196.0,5332.2,3508.7,-1.0,36.7,0.0,3903.8
MEM,T0004,15677.5,-0.0,-0.0,1956.0,5460.3,-0.0,-0.0,1956.0,196.0,5333.5,3581.3,-1.0,36.7,0.0,3905.0
MEM,T0005,15677.5,-0.0,-0.0,1956.0,5148.5,-0.0,-0.0,1956.0,196.0,5334.8,3684.5,-1.0,36.7,0.0,3906.4
MEM,T0006,15677.5,-0.0,-0.0,1956.0,5038.2,-0.0,-0.0,1956.0,196.0,5335.9,3735.2,-1.0,36.7,0.0,3907.5
MEM,T0007,15677.5,-0.0,-0.0,1956.0,4810.4,-0.0,-0.0,1956.0,196.0,5336.7,3811.3,-1.0,36.7,0.0,3908.3
MEM,T0008,15677.5,-0.0,-0.0,1956.0,4664.8,-0.0,-0.0,1956.0,196.0,5337.7,3871.7,-1.0,36.7,0.0,3909.3
MEM,T0009,15677.5,-0.0,-0.0,1956.0,4493.2,-0.0,-0.0,1956.0,167.9,5310.7,3938.2,-1.0,36.7,0.0,3910.3
MEM,T0010,15677.5,-0.0,-0.0,1956.0,4412.2,-0.0,-0.0,1956.0,168.0,5311.5,3981.8,-1.0,36.7,0.0,3911.1
MEM,T0011,15677.5,-0.0,-0.0,1956.0,4376.9,-0.0,-0.0,1956.0,156.0,5299.9,4010.8,-1.0,36.7,0.0,3911.5
MEM,T0012,15677.5,-0.0,-0.0,1956.0,4342.0,-0.0,-0.0,1956.0,156.0,5300.2,4038.6,-1.0,36.7,0.0,3911.7
MEM,T0013,15677.5,-0.0,-0.0,1956.0,4330.3,-0.0,-0.0,1956.0,156.0,5300.3,4054.3,-1.0,36.7,0.0,3911.9
MEM,T0014,15677.5,-0.0,-0.0,1956.0,4319.2,-0.0,-0.0,1956.0,156.0,5300.3,4057.5,-1.0,36.7,0.0,3911.9
MEM,T0015,15677.5,-0.0,-0.0,1956.0,4318.0,-0.0,-0.0,1956.0,156.0,5300.3,4058.6,-1.0,36.7,0.0,3912.0
MEM,T0016,15677.5,-0.0,-0.0,1956.0,4317.3,-0.0,-0.0,1956.0,156.0,5300.4,4059.6,-1.0,36.7,0.0,3912.0
MEM,T0017,15677.5,-0.0,-0.0,1956.0,4319.5,-0.0,-0.0,1956.0,156.0,5300.4,4061.1,-1.0,36.7,0.0,3912.0
MEM,T0018,15677.5,-0.0,-0.0,1956.0,4321.8,-0.0,-0.0,1956.0,156.0,5300.4,4061.6,-1.0,36.7,0.0,3912.0
MEM,T0019,15677.5,-0.0,-0.0,1956.0,4330.6,-0.0,-0.0,1956.0,156.0,5300.4,4063.3,-1.0,36.7,0.0,3912.0
MEM,T0020,15677.5,-0.0,-0.0,1956.0,4329.7,-0.0,-0.0,1956.0,156.0,5300.4,4064.5,-1.0,36.7,0.0,3912.0
MEM,T0021,15677.5,-0.0,-0.0,1956.0,4332.9,-0.0,-0.0,1956.0,156.0,5300.4,4065.6,-1.0,36.7,0.0,3912.0
MEM,T0022,15677.5,-0.0,-0.0,1956.0,4332.1,-0.0,-0.0,1956.0,156.0,5300.4,4069.5,-1.0,36.7,0.0,3912.0
MEM,T0023,15677.5,-0.0,-0.0,1956.0,4332.8,-0.0,-0.0,1956.0,156.0,5300.4,4071.9,-1.0,36.7,0.0,3912.0
MEM,T0024,15677.5,-0.0,-0.0,1956.0,4332.9,-0.0,-0.0,1956.0,156.0,5300.4,4073.7,-1.0,36.7,0.0,3912.0
MEM,T0025,15677.5,-0.0,-0.0,1956.0,4338.2,-0.0,-0.0,1956.0,156.0,5300.4,4074.5,-1.0,36.8,0.0,3912.0
MEM,T0026,15677.5,-0.0,-0.0,1956.0,4341.7,-0.0,-0.0,1956.0,156.0,5300.4,4075.2,-1.0,36.8,0.0,3912.0
