MEM,Memory MB TI6304006020866,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
MEM,T0001,15677.5,-0.0,-0.0,1956.0,5531.4,-0.0,-0.0,1956.0,163.9,4044.6,4011.7,-1.0,264.3,0.0,2874.9
MEM,T0002,15677.5,-0.0,-0.0,1956.0,5504.5,-0.0,-0.0,1956.0,163.9,4044.8,4033.9,-1.0,264.3,0.0,2875.2
MEM,T0003,15677.5,-0.0,-0.0,1956.0,5487.1,-0.0,-0.0,1956.0,163.9,4045.0,4054.4,-1.0,264.3,0.0,2875.3
MEM,T0004,15677.5,-0.0,-0.0,1956.0,5486.2,-0.0,-0.0,1956.0,163.9,4045.0,4056.9,-1.0,264.3,0.0,2875.4
MEM,T0005,15677.5,-0.0,-0.0,1956.0,5490.0,-0.0,-0.0,1956.0,163.9,4045.0,4058.2,-1.0,264.3,0.0,2875.4
MEM,T0006,15677.5,-0.0,-0.0,1956.0,5490.0,-0.0,-0.0,1956.0,163.9,4045.1,4059.0,-1.0,264.3,0.0,2875.4
MEM,T0007,15677.5,-0.0,-0.0,1956.0,5490.0,-0.0,-0.0,1956.0,163.9,4045.1,4059.7,-1.0,264.3,0.0,2875.4
MEM,T0008,15677.5,-0.0,-0.0,1956.0,5487.3,-0.0,-0.0,1956.0,163.9,4045.1,4061.3,-1.0,264.3,0.0,2875.4
MEM,T0009,15677.5,-0.0,-0.0,1956.0,5487.3,-0.0,-0.0,1956.0,163.9,4045.1,4062.3,-1.0,264.3,0.0,2875.4
MEM,T0010,15677.5,-0.0,-0.0,1956.0,5487.3,-0.0,-0.0,1956.0,163.9,4045.1,4063.9,-1.0,264.3,0.0,2875.4
MEM,T0011,15677.5,-0.0,-0.0,1956.0,5485.9,-0.0,-0.0,1956.0,163.9,4045.1,4065.4,-1.0,264.3,0.0,2875.4
MEM,T0012,15677.5,-0.0,-0.0,1956.0,5485.6,-0.0,-0.0,1956.0,163.9,4045.1,4066.5,-1.0,264.3,0.0,2875.4
MEM,T0013,15677.5,-0.0,-0.0,1956.0,5484.6,-0.0,-0.0,1956.0,163.9,4045.1,4068.2,-1.0,264.3,0.0,2875.4
MEM,T0014,15677.5,-0.0,-0.0,1956.0,5484.6,-0.0,-0.0,1956.0,163.9,4045.1,4069.7,-1.0,264.3,0.0,2875.4
MEM,T0015,15677.5,-0.0,-0.0,1956.0,5485.6,-0.0,-0.0,1956.0,163.9,4045.1,4070.1,-1.0,264.3,0.0,2875.4
MEM,T0016,15677.5,-0.0,-0.0,1956.0,5484.1,-0.0,-0.0,1956.0,163.9,4045.1,4071.3,-1.0,264.3,0.0,2875.5
MEM,T0017,15677.5,-0.0,-0.0,1956.0,5484.7,-0.0,-0.0,1956.0,163.9,4045.1,4072.5,-1.0,264.3,0.0,2875.5
MEM,T0018,15677.5,-0.0,-0.0,1956.0,5485.1,-0.0,-0.0,1956.0,163.9,4045.1,4073.5,-1.0,264.3,0.0,2875.5
MEM,T0019,15677.5,-0.0,-0.0,1956.0,5479.7,-0.0,-0.0,1956.0,163.9,4045.1,4075.5,-1.0,264.3,0.0,2875.5
MEM,T0020,15677.5,-0.0,-0.0,1956.0,5481.6,-0.0,-0.0,1956.0,163.9,4045.1,4077.4,-1.0,264.3,0.0,2875.5
MEM,T0021,15677.5,-0.0,-0.0,1956.0,5481.7,-0.0,-0.0,1956.0,163.9,4045.1,4078.7,-1.0,264.3,0.0,2875.5
MEM,T0022,15677.5,-0.0,-0.0,1956.0,5479.9,-0.0,-0.0,1956.0,163.9,4045.1,4079.5,-1.0,264.3,0.0,2875.5
MEM,T0023,15677.5,-0.0,-0.0,1956.0,5480.0,-0.0,-0.0,1956.0,163.9,4045.1,4080.9,-1.0,264.3,0.0,2875.5
MEM,T0024,15677.5,-0.0,-0.0,1956.0,5480.7,-0.0,-0.0,1956.0,163.9,4045.1,4081.6,-1.0,264.3,0.0,2875.5
MEM,T0025,15677.5,-0.0,-0.0,1956.0,5479.6,-0.0,-0.0,1956.0,163.9,4045.1,4082.6,-1.0,264.4,0.0,2875.5
MEM,T0026,15677.5,-0.0,-0.0,1956.0,5477.3,-0.0,-0.0,1956.0,163.9,4045.1,4083.7,-1.0,264.4,0.0,2875.5
MEM,T0027,15677.5,-0.0,-0.0,1956.0,5476.3,-0.0,-0.0,1956.0,163.9,4045.2,4084.9,-1.0,264.4,0.0,2875.5
MEM,T0028,15677.5,-0.0,-0.0,1956.0,5475.8,-0.0,-0.0,1956.0,163.9,4045.2,4086.3,-1.0,264.4,0.0,2875.5
MEM,T0029,15677.5,-0.0,-0.0,1956.0,5475.7,-0.0,-0.0,1956.0,163.9,4045.2,4087.1,-1.0,264.4,0.0,2875.5
