MEM,Memory MB TI6304006020866,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
MEM,T0001,15677.5,-0.0,-0.0,1956.0,6412.3,-0.0,-0.0,1956.0,186.5,5294.4,2976.8,-1.0,33.5,0.0,3872.6
MEM,T0002,15677.5,-0.0,-0.0,1956.0,6085.7,-0.0,-0.0,1956.0,174.5,5282.4,3306.7,-1.0,33.5,0.0,3872.6
MEM,T0003,15677.5,-0.0,-0.0,1956.0,5857.5,-0.0,-0.0,1956.0,158.0,5266.1,3447.2,-1.0,33.5,0.0,3872.8
MEM,T0004,15677.5,-0.0,-0.0,1956.0,5565.9,-0.0,-0.0,1956.0,158.1,5267.4,3557.4,-1.0,33.5,0.0,3874.1
MEM,T0005,15677.5,-0.0,-0.0,1956.0,5268.5,-0.0,-0.0,1956.0,158.1,5268.6,3658.3,-1.0,33.6,0.0,3875.2
MEM,T0006,15677.5,-0.0,-0.0,1956.0,5157.2,-0.0,-0.0,1956.0,158.0,5269.5,3696.5,-1.0,33.6,0.0,3876.2
MEM,T0007,15677.5,-0.0,-0.0,1956.0,5025.9,-0.0,-0.0,1956.0,156.0,5267.9,3764.1,-1.0,33.6,0.0,3876.6
MEM,T0008,15677.5,-0.0,-0.0,1956.0,4799.9,-0.0,-0.0,1956.0,156.0,5269.0,3839.0,-1.0,33.6,0.0,3877.7
MEM,T0009,15677.5,-0.0,-0.0,1956.0,4645.1,-0.0,-0.0,1956.0,164.0,5278.3,3898.3,-1.0,33.6,0.0,3878.8
MEM,T0010,15677.5,-0.0,-0.0,1956.0,4510.7,-0.0,-0.0,1956.0,164.0,5278.9,3951.5,-1.0,33.6,0.0,3879.6
MEM,T0011,15677.5,-0.0,-0.0,1956.0,4463.6,-0.0,-0.0,1956.0,164.0,5279.5,3984.1,-1.0,33.6,0.0,3880.2
MEM,T0012,15677.5,-0.0,-0.0,1956.0,4435.7,-0.0,-0.0,1956.0,164.0,5279.8,4006.9,-1.0,33.6,0.0,3880.5
MEM,T0013,15677.5,-0.0,-0.0,1956.0,4433.2,-0.0,-0.0,1956.0,164.0,5279.9,4012.9,-1.0,33.6,0.0,3880.6
MEM,T0014,15677.5,-0.0,-0.0,1956.0,4432.7,-0.0,-0.0,1956.0,164.0,5279.9,4014.5,-1.0,33.6,0.0,3880.6
MEM,T0015,15677.5,-0.0,-0.0,1956.0,4432.2,-0.0,-0.0,1956.0,164.0,5279.9,4015.8,-1.0,33.6,0.0,3880.6
MEM,T0016,15677.5,-0.0,-0.0,1956.0,4432.0,-0.0,-0.0,1956.0,164.0,5279.9,4016.3,-1.0,33.6,0.0,3880.6
MEM,T0017,15677.5,-0.0,-0.0,1956.0,4430.2,-0.0,-0.0,1956.0,164.0,5279.9,4018.5,-1.0,33.6,0.0,3880.6
MEM,T0018,15677.5,-0.0,-0.0,1956.0,4430.0,-0.0,-0.0,1956.0,164.0,5279.9,4020.3,-1.0,33.6,0.0,3880.6
MEM,T0019,15677.5,-0.0,-0.0,1956.0,4430.0,-0.0,-0.0,1956.0,164.0,5279.9,4021.8,-1.0,33.6,0.0,3880.6
MEM,T0020,15677.5,-0.0,-0.0,1956.0,4429.4,-0.0,-0.0,1956.0,164.0,5279.9,4023.7,-1.0,33.6,0.0,3880.6
MEM,T0021,15677.5,-0.0,-0.0,1956.0,4432.8,-0.0,-0.0,1956.0,164.0,5279.9,4025.3,-1.0,33.6,0.0,3880.6
MEM,T0022,15677.5,-0.0,-0.0,1956.0,4433.2,-0.0,-0.0,1956.0,164.0,5279.9,4026.7,-1.0,33.6,0.0,3880.6
