CPU_ALL,CPU Total TI6304006020866,User%,Sys%,Wait%
CPU_ALL,T0001,19.0,16.5,0.3
CPU_ALL,T0002,24.6,67.8,0.0
CPU_ALL,T0003,26.2,67.3,0.0
CPU_ALL,T0004,24.8,71.4,0.0
CPU_ALL,T0005,22.1,75.6,0.0
CPU_ALL,T0006,21.6,77.3,0.0
CPU_ALL,T0007,21.2,77.2,0.0
CPU_ALL,T0008,21.4,77.3,0.0
CPU_ALL,T0009,21.1,77.1,0.0
CPU_ALL,T0010,22.2,76.3,0.0
CPU_ALL,T0011,21.6,76.6,0.0
CPU_ALL,T0012,21.9,77.0,0.0
CPU_ALL,T0013,21.9,77.9,0.0
CPU_ALL,T0014,20.0,78.0,0.0
CPU_ALL,T0015,21.5,77.3,0.1
CPU_ALL,T0016,20.9,77.4,0.0
CPU_ALL,T0017,21.7,77.5,0.0
CPU_ALL,T0018,21.6,77.0,0.0
CPU_ALL,T0019,21.1,76.6,0.0
CPU_ALL,T0020,20.9,77.6,0.0
CPU_ALL,T0021,21.3,77.6,0.0
CPU_ALL,T0022,20.9,77.6,0.0
CPU_ALL,T0023,21.0,78.6,0.0
CPU_ALL,T0024,21.3,77.4,0.0
CPU_ALL,T0025,20.8,77.7,0.0
CPU_ALL,T0026,20.7,76.8,0.0
CPU_ALL,T0027,21.4,77.3,0.0
CPU_ALL,T0028,20.7,78.2,0.0
CPU_ALL,T0029,21.0,77.4,0.0
CPU_ALL,T0030,21.4,77.2,0.2
CPU_ALL,T0031,22.4,75.9,0.0
CPU_ALL,T0032,21.2,78.3,0.0
CPU_ALL,T0033,21.4,77.9,0.0
CPU_ALL,T0034,21.5,76.7,0.0
CPU_ALL,T0035,20.5,77.7,0.0
CPU_ALL,T0036,20.5,77.1,0.0
CPU_ALL,T0037,21.9,77.0,0.0
CPU_ALL,T0038,21.6,77.4,0.0
CPU_ALL,T0039,20.5,75.4,0.0
CPU_ALL,T0040,21.1,78.4,0.0
CPU_ALL,T0041,21.1,77.8,0.0
CPU_ALL,T0042,21.8,77.3,0.0
CPU_ALL,T0043,21.4,76.5,0.0
CPU_ALL,T0044,21.3,76.8,0.0
CPU_ALL,T0045,20.7,77.3,0.0
CPU_ALL,T0046,21.3,77.7,0.0
CPU_ALL,T0047,20.6,77.9,0.0
CPU_ALL,T0048,21.1,77.7,0.0
CPU_ALL,T0049,21.2,77.5,0.0
CPU_ALL,T0050,21.8,75.5,0.0
CPU_ALL,T0051,21.3,77.4,0.0
CPU_ALL,T0052,20.4,77.9,0.0
CPU_ALL,T0053,20.8,78.0,0.0
CPU_ALL,T0054,20.6,77.5,0.0
CPU_ALL,T0055,21.3,77.9,0.0
CPU_ALL,T0056,20.5,77.3,0.0
CPU_ALL,T0057,21.1,76.9,0.0
CPU_ALL,T0058,20.4,78.3,0.0
CPU_ALL,T0059,21.4,77.2,0.0
CPU_ALL,T0060,25.5,70.7,0.1
CPU_ALL,T0061,28.5,69.4,0.0
CPU_ALL,T0062,29.1,69.0,0.0
CPU_ALL,T0063,28.9,69.2,0.0
CPU_ALL,T0064,29.5,68.2,0.0
CPU_ALL,T0065,28.7,69.6,0.1
CPU_ALL,T0066,29.3,69.3,0.0
CPU_ALL,T0067,29.7,68.6,0.0
CPU_ALL,T0068,30.1,68.8,0.0
CPU_ALL,T0069,29.8,69.2,0.0
CPU_ALL,T0070,29.3,69.0,0.0
CPU_ALL,T0071,29.1,69.5,0.0
CPU_ALL,T0072,29.2,68.9,0.0
CPU_ALL,T0073,29.3,69.6,0.0
CPU_ALL,T0074,29.5,68.0,0.0
CPU_ALL,T0075,29.4,68.5,0.0
CPU_ALL,T0076,29.5,69.2,0.0
CPU_ALL,T0077,29.2,68.2,0.0
CPU_ALL,T0078,29.2,69.6,0.0
CPU_ALL,T0079,29.5,69.0,0.0
CPU_ALL,T0080,29.6,69.3,0.0
CPU_ALL,T0081,28.9,67.3,0.0
CPU_ALL,T0082,29.0,69.2,0.0
CPU_ALL,T0083,29.9,68.0,0.0
CPU_ALL,T0084,29.2,69.1,0.0
CPU_ALL,T0085,29.4,69.1,0.0
CPU_ALL,T0086,29.0,68.0,0.0
CPU_ALL,T0087,29.4,69.0,0.0
CPU_ALL,T0088,28.7,68.9,0.0
CPU_ALL,T0089,29.8,68.0,0.0
CPU_ALL,T0090,29.1,68.2,0.1
CPU_ALL,T0091,29.7,69.8,0.0
CPU_ALL,T0092,29.0,69.4,0.0
CPU_ALL,T0093,29.1,68.3,0.0
CPU_ALL,T0094,30.3,68.6,0.0
CPU_ALL,T0095,29.4,69.0,0.0
CPU_ALL,T0096,29.4,69.4,0.0
CPU_ALL,T0097,30.7,68.0,0.0
CPU_ALL,T0098,29.5,69.0,0.0
CPU_ALL,T0099,29.8,69.2,0.0
CPU_ALL,T0100,29.6,68.8,0.1
CPU_ALL,T0101,30.5,68.4,0.0
CPU_ALL,T0102,29.1,69.7,0.0
CPU_ALL,T0103,29.6,68.8,0.0
CPU_ALL,T0104,29.6,68.2,0.0
CPU_ALL,T0105,29.6,69.1,0.0
CPU_ALL,T0106,29.3,68.8,0.0
CPU_ALL,T0107,30.0,68.7,0.0
CPU_ALL,T0108,29.5,69.0,0.0
CPU_ALL,T0109,30.0,68.0,0.0
CPU_ALL,T0110,28.7,68.9,0.1
CPU_ALL,T0111,29.0,69.5,0.0
CPU_ALL,T0112,29.4,69.3,0.0
CPU_ALL,T0113,28.6,69.0,0.0
CPU_ALL,T0114,29.5,67.1,0.0
CPU_ALL,T0115,30.0,68.4,0.0
CPU_ALL,T0116,29.4,68.8,0.0
CPU_ALL,T0117,29.4,68.3,0.0
CPU_ALL,T0118,28.8,69.7,0.0
CPU_ALL,T0119,29.4,68.9,0.0
CPU_ALL,T0120,24.4,72.0,0.1
CPU_ALL,T0121,20.7,76.3,0.0
CPU_ALL,T0122,19.4,76.6,0.0
CPU_ALL,T0123,20.7,76.8,0.0
CPU_ALL,T0124,20.1,77.4,0.0
CPU_ALL,T0125,19.8,76.5,0.0
CPU_ALL,T0126,20.9,76.8,0.1
CPU_ALL,T0127,20.2,77.1,0.0
CPU_ALL,T0128,20.5,76.3,0.0
