MEM,Memory MB TI6304006020866,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
MEM,T0001,15677.5,-0.0,-0.0,1956.0,10254.1,-0.0,-0.0,1956.0,192.5,2550.7,2713.3,-1.0,143.6,0.0,1316.8
MEM,T0002,15677.5,-0.0,-0.0,1956.0,9974.7,-0.0,-0.0,1956.0,152.4,2510.6,3032.7,-1.0,143.6,0.0,1316.8
MEM,T0003,15677.5,-0.0,-0.0,1956.0,9822.8,-0.0,-0.0,1956.0,152.4,2510.8,3136.9,-1.0,143.6,0.0,1317.0
MEM,T0004,15677.5,-0.0,-0.0,1956.0,9700.9,-0.0,-0.0,1956.0,152.4,2511.6,3190.0,-1.0,143.6,0.0,1317.8
MEM,T0005,15677.5,-0.0,-0.0,1956.0,9564.1,-0.0,-0.0,1956.0,152.5,2512.3,3243.3,-1.0,143.6,0.0,1318.5
MEM,T0006,15677.5,-0.0,-0.0,1956.0,9408.5,-0.0,-0.0,1956.0,152.5,2513.0,3293.3,-1.0,143.6,0.0,1319.2
MEM,T0007,15677.5,-0.0,-0.0,1956.0,9295.6,-0.0,-0.0,1956.0,152.5,2513.6,3329.8,-1.0,143.6,0.0,1319.8
MEM,T0008,15677.5,-0.0,-0.0,1956.0,9197.5,-0.0,-0.0,1956.0,152.5,2514.2,3356.0,-1.0,143.6,0.0,1320.4
MEM,T0009,15677.5,-0.0,-0.0,1956.0,9167.5,-0.0,-0.0,1956.0,156.5,2518.3,3373.9,-1.0,143.6,0.0,1320.5
MEM,T0010,15677.5,-0.0,-0.0,1956.0,8878.8,-0.0,-0.0,1956.0,160.5,2523.3,3572.4,-1.0,143.6,0.0,1321.4
MEM,T0011,15677.5,-0.0,-0.0,1956.0,8478.8,-0.0,-0.0,1956.0,200.8,2564.6,3793.1,-1.0,143.6,0.0,1322.3
MEM,T0012,15677.5,-0.0,-0.0,1956.0,8178.0,-0.0,-0.0,1956.0,389.3,2753.8,3848.3,-1.0,143.6,0.0,1323.0
MEM,T0013,15677.5,-0.0,-0.0,1956.0,7987.1,-0.0,-0.0,1956.0,405.2,2770.4,3893.4,-1.0,143.7,0.0,1323.8
MEM,T0014,15677.5,-0.0,-0.0,1956.0,8066.2,-0.0,-0.0,1956.0,192.7,2558.2,3928.8,-1.0,143.7,0.0,1324.1
MEM,T0015,15677.5,-0.0,-0.0,1956.0,7794.0,-0.0,-0.0,1956.0,409.1,2775.4,3975.5,-1.0,143.7,0.0,1324.8
MEM,T0016,15677.5,-0.0,-0.0,1956.0,7722.0,-0.0,-0.0,1956.0,305.5,2672.2,4050.4,-1.0,143.7,0.0,1325.3
MEM,T0017,15677.5,-0.0,-0.0,1956.0,7560.8,-0.0,-0.0,1956.0,409.5,2776.6,4081.3,-1.0,143.7,0.0,1325.7
MEM,T0018,15677.5,-0.0,-0.0,1956.0,7403.4,-0.0,-0.0,1956.0,545.4,2912.8,4117.6,-1.0,143.7,0.0,1326.1
MEM,T0019,15677.5,-0.0,-0.0,1956.0,7444.9,-0.0,-0.0,1956.0,381.2,2748.2,4168.8,-1.0,143.7,0.0,1325.6
MEM,T0020,15677.5,-0.0,-0.0,1956.0,7398.2,-0.0,-0.0,1956.0,381.2,2749.0,4148.0,-1.0,143.7,0.0,1326.4
MEM,T0021,15677.5,-0.0,-0.0,1956.0,7378.1,-0.0,-0.0,1956.0,381.2,2749.3,4166.4,-1.0,143.7,0.0,1326.7
MEM,T0022,15677.5,-0.0,-0.0,1956.0,7373.4,-0.0,-0.0,1956.0,381.2,2749.4,4193.5,-1.0,143.7,0.0,1326.8
MEM,T0023,15677.5,-0.0,-0.0,1956.0,7346.9,-0.0,-0.0,1956.0,381.2,2749.6,4222.7,-1.0,143.7,0.0,1327.0
MEM,T0024,15677.5,-0.0,-0.0,1956.0,7326.3,-0.0,-0.0,1956.0,381.2,2749.9,4187.6,-1.0,143.7,0.0,1327.3
MEM,T0025,15677.5,-0.0,-0.0,1956.0,7323.0,-0.0,-0.0,1956.0,381.2,2750.2,4204.9,-1.0,143.7,0.0,1327.6
MEM,T0026,15677.5,-0.0,-0.0,1956.0,7300.0,-0.0,-0.0,1956.0,381.2,2750.6,4226.4,-1.0,143.7,0.0,1328.0
MEM,T0027,15677.5,-0.0,-0.0,1956.0,7290.1,-0.0,-0.0,1956.0,381.2,2751.0,4246.5,-1.0,143.7,0.0,1328.4
MEM,T0028,15677.5,-0.0,-0.0,1956.0,7263.7,-0.0,-0.0,1956.0,381.2,2751.4,4265.4,-1.0,143.7,0.0,1328.9
MEM,T0029,15677.5,-0.0,-0.0,1956.0,7206.3,-0.0,-0.0,1956.0,381.2,2751.8,4281.3,-1.0,143.7,0.0,1329.2
MEM,T0030,15677.5,-0.0,-0.0,1956.0,7170.1,-0.0,-0.0,1956.0,381.2,2752.1,4298.1,-1.0,143.7,0.0,1329.5
MEM,T0031,15677.5,-0.0,-0.0,1956.0,7166.9,-0.0,-0.0,1956.0,381.2,2752.7,4308.4,-1.0,143.7,0.0,1330.0
MEM,T0032,15677.5,-0.0,-0.0,1956.0,7350.3,-0.0,-0.0,1956.0,381.2,2753.5,4283.3,-1.0,143.7,0.0,1331.0
MEM,T0033,15677.5,-0.0,-0.0,1956.0,7579.1,-0.0,-0.0,1956.0,381.2,2754.9,4219.9,-1.0,143.7,0.0,1332.1
