1747335103.5997777,172.18.0.4,172.18.0.2,1,4,0,50,0,0
1747335103.6082854,172.18.0.4,172.18.0.2,1,4,0,51,0,0
1747335103.6197333,172.18.0.4,172.18.0.2,1,4,0,52,0,0
1747335103.6304107,172.18.0.4,172.18.0.2,1,4,0,53,0,0
1747335103.644138,172.18.0.4,172.18.0.2,1,4,0,54,0,0
1747335103.6496174,172.18.0.4,172.18.0.2,1,4,0,55,0,0
1747335103.6587877,172.18.0.4,172.18.0.2,1,4,0,56,0,0
1747335103.668465,172.18.0.4,172.18.0.2,3,38,0,57,1,0
1747335103.689398,172.18.0.4,172.18.0.2,1,4,0,58,0,0
1747335103.698427,172.18.0.4,172.18.0.2,1,4,0,59,0,0
1747335103.7162895,172.18.0.4,172.18.0.2,1,4,0,60,0,0
1747335103.7258954,172.18.0.4,172.18.0.2,1,4,0,61,0,0
1747335103.7462523,172.18.0.4,172.18.0.2,1,4,0,62,0,0
1747335103.7675874,172.18.0.4,172.18.0.2,1,4,0,63,0,0
1747335103.7843463,172.18.0.4,172.18.0.2,1,4,0,64,0,0
1747335103.8109205,172.18.0.4,172.18.0.2,1,4,0,65,0,0
1747335103.832063,172.18.0.4,172.18.0.2,3,40,0,66,1,0
1747335103.84208,172.18.0.4,172.18.0.2,3,40,0,67,1,0
1747335103.8535032,172.18.0.4,172.18.0.2,3,29,0,68,1,0
1747335103.8670087,172.18.0.4,172.18.0.2,1,4,0,69,0,0
1747335103.8860848,172.18.0.4,172.18.0.2,3,40,0,70,1,0
1747335103.898712,172.18.0.4,172.18.0.2,3,40,0,71,1,0
1747335103.914845,172.18.0.4,172.18.0.2,3,40,0,72,1,0
1747335103.9268415,172.18.0.4,172.18.0.2,3,38,0,73,1,0
1747335103.9399602,172.18.0.4,172.18.0.2,3,30,0,74,1,0
1747335103.9576807,172.18.0.4,172.18.0.2,3,40,0,75,1,0
1747335103.96621,172.18.0.4,172.18.0.2,3,30,0,76,1,0
1747335103.981644,172.18.0.4,172.18.0.2,3,30,0,77,1,0
1747335103.9896083,172.18.0.4,172.18.0.2,3,40,0,78,1,0
1747335103.9964333,172.18.0.4,172.18.0.2,1,4,0,78,0,0
1747335104.006118,172.18.0.4,172.18.0.2,1,4,0,78,0,0
1747335104.0125964,172.18.0.4,172.18.0.2,1,4,0,77,0,0
1747335104.0183198,172.18.0.4,172.18.0.2,1,4,0,77,0,0
1747335104.0232427,172.18.0.4,172.18.0.2,3,30,0,77,1,0
1747335104.0294218,172.18.0.4,172.18.0.2,3,30,0,75,1,0
