MEM,Memory MB TI6304006020866,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
MEM,T0001,15677.5,-0.0,-0.0,1956.0,7792.1,-0.0,-0.0,1956.0,187.2,3742.5,2737.3,-1.0,446.6,0.0,2793.8
MEM,T0002,15677.5,-0.0,-0.0,1956.0,7529.6,-0.0,-0.0,1956.0,159.2,3714.5,3025.7,-1.0,446.6,0.0,2793.8
MEM,T0003,15677.5,-0.0,-0.0,1956.0,7295.3,-0.0,-0.0,1956.0,155.2,3710.7,3239.5,-1.0,446.6,0.0,2794.0
MEM,T0004,15677.5,-0.0,-0.0,1956.0,7200.4,-0.0,-0.0,1956.0,155.0,3711.4,3250.1,-1.0,446.6,0.0,2794.7
MEM,T0005,15677.5,-0.0,-0.0,1956.0,7014.7,-0.0,-0.0,1956.0,155.0,3712.2,3307.2,-1.0,446.6,0.0,2795.6
MEM,T0006,15677.5,-0.0,-0.0,1956.0,6885.1,-0.0,-0.0,1956.0,155.0,3712.9,3357.6,-1.0,446.6,0.0,2796.2
MEM,T0007,15677.5,-0.0,-0.0,1956.0,6755.4,-0.0,-0.0,1956.0,155.0,3713.4,3393.7,-1.0,446.6,0.0,2796.8
MEM,T0008,15677.5,-0.0,-0.0,1956.0,6674.1,-0.0,-0.0,1956.0,155.0,3714.1,3431.5,-1.0,446.6,0.0,2797.4
MEM,T0009,15677.5,-0.0,-0.0,1956.0,6657.7,-0.0,-0.0,1956.0,155.0,3714.2,3440.5,-1.0,446.6,0.0,2797.5
MEM,T0010,15677.5,-0.0,-0.0,1956.0,6324.2,-0.0,-0.0,1956.0,163.1,3723.2,3632.5,-1.0,446.6,0.0,2798.5
MEM,T0011,15677.5,-0.0,-0.0,1956.0,5951.0,-0.0,-0.0,1956.0,195.1,3756.2,3897.3,-1.0,446.6,0.0,2799.6
MEM,T0012,15677.5,-0.0,-0.0,1956.0,5700.7,-0.0,-0.0,1956.0,363.6,3925.4,3939.2,-1.0,446.6,0.0,2800.2
MEM,T0013,15677.5,-0.0,-0.0,1956.0,5397.2,-0.0,-0.0,1956.0,531.7,4094.1,3982.9,-1.0,446.6,0.0,2800.8
MEM,T0014,15677.5,-0.0,-0.0,1956.0,5409.0,-0.0,-0.0,1956.0,427.9,3990.7,4016.0,-1.0,446.6,0.0,2801.2
MEM,T0015,15677.5,-0.0,-0.0,1956.0,5219.7,-0.0,-0.0,1956.0,444.3,4007.8,4053.9,-1.0,446.6,0.0,2801.9
MEM,T0016,15677.5,-0.0,-0.0,1956.0,5017.1,-0.0,-0.0,1956.0,559.9,4123.8,4090.1,-1.0,446.6,0.0,2802.4
MEM,T0017,15677.5,-0.0,-0.0,1956.0,4967.9,-0.0,-0.0,1956.0,527.8,4092.3,4126.0,-1.0,446.6,0.0,2802.9
MEM,T0018,15677.5,-0.0,-0.0,1956.0,4949.3,-0.0,-0.0,1956.0,471.9,4036.7,4159.0,-1.0,446.6,0.0,2803.3
