CPU_ALL,CPU Total TI6304006020866,User%,Sys%,Wait%
CPU_ALL,T0001,12.4,3.9,0.7
CPU_ALL,T0002,7.9,0.8,0.0
CPU_ALL,T0003,8.2,4.4,0.0
CPU_ALL,T0004,10.4,9.1,0.0
CPU_ALL,T0005,12.2,11.2,0.1
CPU_ALL,T0006,11.2,12.8,0.0
CPU_ALL,T0007,21.6,19.0,0.0
CPU_ALL,T0008,17.1,15.8,0.4
CPU_ALL,T0009,16.6,15.7,0.0
CPU_ALL,T0010,39.6,21.8,0.1
CPU_ALL,T0011,36.0,30.0,0.0
CPU_ALL,T0012,19.1,61.3,0.0
CPU_ALL,T0013,17.6,48.2,0.1
CPU_ALL,T0014,18.8,65.1,0.1
CPU_ALL,T0015,18.3,45.6,0.2
CPU_ALL,T0016,17.7,53.3,0.1
CPU_ALL,T0017,17.8,47.8,0.1
CPU_ALL,T0018,16.8,58.7,0.2
CPU_ALL,T0019,14.0,72.3,0.0
CPU_ALL,T0020,13.8,79.4,0.0
CPU_ALL,T0021,12.3,83.8,0.0
CPU_ALL,T0022,14.5,81.2,0.0
CPU_ALL,T0023,10.7,84.8,0.0
CPU_ALL,T0024,8.5,79.2,0.0
CPU_ALL,T0025,10.3,73.4,0.1
CPU_ALL,T0026,9.7,69.2,0.0
CPU_ALL,T0027,7.8,69.0,0.0
CPU_ALL,T0028,8.1,68.4,0.0
CPU_ALL,T0029,7.8,70.6,0.0
CPU_ALL,T0030,7.5,71.6,0.2
CPU_ALL,T0031,8.2,67.5,0.0
CPU_ALL,T0032,10.1,37.2,0.0
CPU_ALL,T0033,10.9,38.5,0.0
CPU_ALL,T0034,5.2,11.8,0.1
CPU_ALL,T0035,7.2,42.6,0.1
CPU_ALL,T0036,9.5,71.6,0.0
CPU_ALL,T0037,8.7,69.3,0.0
CPU_ALL,T0038,17.5,47.8,0.0
CPU_ALL,T0039,21.1,77.8,0.0
CPU_ALL,T0040,20.9,77.2,0.0
CPU_ALL,T0041,21.9,77.0,0.0
CPU_ALL,T0042,20.4,78.4,0.0
CPU_ALL,T0043,21.1,78.9,0.0
CPU_ALL,T0044,21.5,78.0,0.0
CPU_ALL,T0045,20.6,78.9,0.0
CPU_ALL,T0046,20.6,78.9,0.0
CPU_ALL,T0047,21.3,78.2,0.0
CPU_ALL,T0048,19.1,75.6,0.0
CPU_ALL,T0049,21.4,78.6,0.0
CPU_ALL,T0050,19.4,79.1,0.0
CPU_ALL,T0051,21.0,79.0,0.0
CPU_ALL,T0052,21.2,78.8,0.0
CPU_ALL,T0053,21.7,78.3,0.0
CPU_ALL,T0054,21.1,78.4,0.0
CPU_ALL,T0055,21.9,78.0,0.0
CPU_ALL,T0056,19.8,78.3,0.0
CPU_ALL,T0057,20.1,79.1,0.0
CPU_ALL,T0058,20.0,79.0,0.0
CPU_ALL,T0059,20.2,79.1,0.0
CPU_ALL,T0060,21.0,78.5,0.0
CPU_ALL,T0061,20.4,79.0,0.0
CPU_ALL,T0062,20.5,79.0,0.0
CPU_ALL,T0063,20.5,79.4,0.0
CPU_ALL,T0064,21.3,77.9,0.0
CPU_ALL,T0065,20.8,78.8,0.0
CPU_ALL,T0066,20.7,77.7,0.0
CPU_ALL,T0067,20.5,79.2,0.0
CPU_ALL,T0068,21.7,78.3,0.0
CPU_ALL,T0069,21.5,78.3,0.0
CPU_ALL,T0070,23.6,75.6,0.0
CPU_ALL,T0071,27.0,71.4,0.1
CPU_ALL,T0072,29.6,68.9,0.0
CPU_ALL,T0073,29.2,68.6,0.0
CPU_ALL,T0074,29.3,69.4,0.0
CPU_ALL,T0075,29.3,69.3,0.0
CPU_ALL,T0076,30.0,67.6,0.1
CPU_ALL,T0077,29.7,68.5,0.0
CPU_ALL,T0078,29.6,68.8,0.0
CPU_ALL,T0079,28.3,68.3,0.0
CPU_ALL,T0080,29.7,68.2,0.0
CPU_ALL,T0081,29.1,69.4,0.0
CPU_ALL,T0082,29.3,69.0,0.1
CPU_ALL,T0083,29.6,68.7,0.0
CPU_ALL,T0084,28.6,69.4,0.0
CPU_ALL,T0085,29.3,68.5,0.0
CPU_ALL,T0086,30.3,67.1,0.0
CPU_ALL,T0087,35.0,63.0,0.0
CPU_ALL,T0088,30.3,67.4,0.0
CPU_ALL,T0089,29.3,68.1,0.1
CPU_ALL,T0090,29.2,68.6,0.0
CPU_ALL,T0091,29.3,68.3,0.0
CPU_ALL,T0092,31.2,67.3,0.0
CPU_ALL,T0093,29.2,68.4,0.0
CPU_ALL,T0094,29.5,68.0,0.0
CPU_ALL,T0095,28.8,69.3,0.1
CPU_ALL,T0096,29.9,68.1,0.0
CPU_ALL,T0097,29.4,68.7,0.0
CPU_ALL,T0098,29.5,67.7,0.0
CPU_ALL,T0099,28.7,69.2,0.0
CPU_ALL,T0100,28.1,70.0,0.1
CPU_ALL,T0101,29.3,67.8,0.0
CPU_ALL,T0102,28.9,69.0,0.0
CPU_ALL,T0103,28.0,67.0,0.0
CPU_ALL,T0104,30.2,67.0,0.1
CPU_ALL,T0105,29.9,67.9,0.0
CPU_ALL,T0106,29.8,66.0,0.0
CPU_ALL,T0107,28.9,69.0,0.1
CPU_ALL,T0108,30.2,67.6,0.0
CPU_ALL,T0109,29.6,68.3,0.0
CPU_ALL,T0110,29.4,68.7,0.0
CPU_ALL,T0111,30.1,67.8,0.0
CPU_ALL,T0112,29.4,67.7,0.1
CPU_ALL,T0113,29.4,68.4,0.0
CPU_ALL,T0114,29.3,68.9,0.0
CPU_ALL,T0115,29.5,67.1,0.1
CPU_ALL,T0116,29.2,67.3,0.0
CPU_ALL,T0117,29.6,68.0,0.0
CPU_ALL,T0118,28.5,65.3,0.0
CPU_ALL,T0119,28.9,68.5,0.1
CPU_ALL,T0120,29.7,67.7,0.0
CPU_ALL,T0121,29.4,68.2,0.1
CPU_ALL,T0122,29.4,68.7,0.0
CPU_ALL,T0123,30.1,67.5,0.0
CPU_ALL,T0124,29.6,65.9,0.0
CPU_ALL,T0125,29.2,68.4,0.0
CPU_ALL,T0126,29.2,68.5,0.0
CPU_ALL,T0127,29.7,66.9,0.1
CPU_ALL,T0128,29.4,68.9,0.0
CPU_ALL,T0129,28.9,68.7,0.0
CPU_ALL,T0130,28.2,67.9,0.1
CPU_ALL,T0131,21.1,78.3,0.0
CPU_ALL,T0132,21.7,77.9,0.0
CPU_ALL,T0133,21.4,77.4,0.0
CPU_ALL,T0134,20.1,78.3,0.0
CPU_ALL,T0135,18.9,76.1,0.0
CPU_ALL,T0136,21.0,77.5,0.0
CPU_ALL,T0137,21.3,78.1,0.0
CPU_ALL,T0138,21.6,77.4,0.0
