MEM,Memory MB TI6304006020866,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
MEM,T0001,15677.5,-0.0,-0.0,1956.0,7007.2,-0.0,-0.0,1956.0,183.1,4297.6,2857.2,-1.0,486.3,0.0,3408.0
MEM,T0002,15677.5,-0.0,-0.0,1956.0,6695.2,-0.0,-0.0,1956.0,155.1,4269.6,3204.9,-1.0,486.3,0.0,3408.0
MEM,T0003,15677.5,-0.0,-0.0,1956.0,6416.4,-0.0,-0.0,1956.0,155.1,4269.9,3421.9,-1.0,486.3,0.0,3408.3
MEM,T0004,15677.5,-0.0,-0.0,1956.0,6231.2,-0.0,-0.0,1956.0,155.1,4271.2,3478.9,-1.0,486.3,0.0,3409.7
MEM,T0005,15677.5,-0.0,-0.0,1956.0,6001.9,-0.0,-0.0,1956.0,155.1,4272.3,3506.5,-1.0,486.3,0.0,3410.7
MEM,T0006,15677.5,-0.0,-0.0,1956.0,5865.9,-0.0,-0.0,1956.0,155.1,4272.9,3548.8,-1.0,486.3,0.0,3411.4
MEM,T0007,15677.5,-0.0,-0.0,1956.0,5835.3,-0.0,-0.0,1956.0,155.2,4273.3,3560.5,-1.0,486.3,0.0,3411.7
MEM,T0008,15677.5,-0.0,-0.0,1956.0,5816.7,-0.0,-0.0,1956.0,155.2,4273.5,3563.0,-1.0,486.3,0.0,3411.9
MEM,T0009,15677.5,-0.0,-0.0,1956.0,5696.9,-0.0,-0.0,1956.0,155.1,4274.1,3607.9,-1.0,486.3,0.0,3412.5
MEM,T0010,15677.5,-0.0,-0.0,1956.0,5403.5,-0.0,-0.0,1956.0,163.1,4283.1,3807.6,-1.0,486.3,0.0,3413.5
MEM,T0011,15677.5,-0.0,-0.0,1956.0,5079.9,-0.0,-0.0,1956.0,171.1,4291.8,4017.3,-1.0,486.3,0.0,3414.2
