CPU_ALL,CPU Total TI6304006020866,User%,Sys%,Wait%
CPU_ALL,T0001,11.9,3.5,1.0
CPU_ALL,T0002,7.7,0.8,0.0
CPU_ALL,T0003,8.9,4.2,0.0
CPU_ALL,T0004,10.6,9.0,0.0
CPU_ALL,T0005,11.7,10.7,0.3
CPU_ALL,T0006,12.1,11.4,0.0
CPU_ALL,T0007,13.6,12.3,0.0
CPU_ALL,T0008,12.7,11.1,0.0
CPU_ALL,T0009,22.7,32.4,0.0
CPU_ALL,T0010,36.9,10.9,0.3
CPU_ALL,T0011,36.0,15.7,0.0
CPU_ALL,T0012,22.4,25.4,0.2
CPU_ALL,T0013,21.4,36.2,0.2
CPU_ALL,T0014,18.9,66.7,0.0
CPU_ALL,T0015,19.6,45.0,0.4
CPU_ALL,T0016,18.3,57.7,0.1
CPU_ALL,T0017,18.6,54.1,0.1
CPU_ALL,T0018,17.8,60.8,0.1
CPU_ALL,T0019,16.9,68.1,0.0
CPU_ALL,T0020,13.9,82.6,0.0
CPU_ALL,T0021,10.4,76.9,0.0
CPU_ALL,T0022,13.5,81.6,0.0
CPU_ALL,T0023,9.4,78.8,0.0
CPU_ALL,T0024,9.3,77.0,0.0
CPU_ALL,T0025,10.5,81.7,0.0
CPU_ALL,T0026,10.6,73.9,0.0
CPU_ALL,T0027,10.5,72.5,0.0
CPU_ALL,T0028,8.0,73.5,0.0
CPU_ALL,T0029,8.2,70.6,0.0
CPU_ALL,T0030,7.4,73.1,0.3
CPU_ALL,T0031,9.2,58.4,0.1
CPU_ALL,T0032,10.3,45.5,0.0
CPU_ALL,T0033,10.7,46.0,0.0
CPU_ALL,T0034,5.0,20.2,0.0
CPU_ALL,T0035,12.1,61.1,0.0
CPU_ALL,T0036,16.0,56.9,0.2
CPU_ALL,T0037,23.0,74.2,0.0
CPU_ALL,T0038,20.9,76.5,0.0
CPU_ALL,T0039,22.4,77.3,0.0
CPU_ALL,T0040,22.6,77.2,0.0
CPU_ALL,T0041,20.7,78.9,0.0
CPU_ALL,T0042,20.6,79.0,0.0
CPU_ALL,T0043,21.0,78.8,0.0
CPU_ALL,T0044,21.5,78.2,0.0
CPU_ALL,T0045,20.3,79.0,0.0
CPU_ALL,T0046,21.0,78.9,0.0
CPU_ALL,T0047,22.9,75.9,0.0
CPU_ALL,T0048,21.1,78.3,0.0
CPU_ALL,T0049,21.9,77.1,0.0
CPU_ALL,T0050,24.6,74.9,0.0
CPU_ALL,T0051,22.6,77.2,0.0
CPU_ALL,T0052,21.8,77.4,0.0
CPU_ALL,T0053,21.2,78.6,0.0
CPU_ALL,T0054,24.8,74.3,0.0
CPU_ALL,T0055,20.9,78.3,0.0
CPU_ALL,T0056,22.5,76.7,0.0
CPU_ALL,T0057,20.5,77.8,0.0
CPU_ALL,T0058,23.4,76.1,0.0
CPU_ALL,T0059,23.3,75.5,0.0
CPU_ALL,T0060,23.8,76.0,0.0
CPU_ALL,T0061,22.4,77.1,0.0
CPU_ALL,T0062,20.4,76.3,0.0
CPU_ALL,T0063,25.2,74.2,0.0
CPU_ALL,T0064,21.8,78.2,0.0
CPU_ALL,T0065,21.5,78.4,0.0
CPU_ALL,T0066,22.0,77.7,0.0
CPU_ALL,T0067,20.5,78.3,0.0
CPU_ALL,T0068,21.4,78.0,0.0
CPU_ALL,T0069,20.6,79.0,0.0
CPU_ALL,T0070,24.3,73.4,0.1
CPU_ALL,T0071,27.0,72.0,0.0
CPU_ALL,T0072,29.3,68.9,0.0
CPU_ALL,T0073,29.5,68.4,0.0
CPU_ALL,T0074,29.5,68.5,0.1
CPU_ALL,T0075,28.9,69.0,0.0
CPU_ALL,T0076,29.1,69.0,0.0
CPU_ALL,T0077,29.5,69.6,0.0
CPU_ALL,T0078,29.4,68.7,0.0
CPU_ALL,T0079,29.5,67.9,0.0
CPU_ALL,T0080,29.8,67.1,0.1
CPU_ALL,T0081,28.5,68.9,0.0
CPU_ALL,T0082,29.8,67.5,0.0
CPU_ALL,T0083,29.2,68.9,0.0
CPU_ALL,T0084,29.5,68.5,0.0
CPU_ALL,T0085,28.8,67.7,0.1
CPU_ALL,T0086,29.5,68.9,0.0
CPU_ALL,T0087,29.9,68.5,0.0
CPU_ALL,T0088,34.8,63.7,0.0
CPU_ALL,T0089,28.7,68.9,0.1
CPU_ALL,T0090,29.2,68.9,0.0
CPU_ALL,T0091,28.6,69.4,0.0
CPU_ALL,T0092,28.9,68.8,0.0
CPU_ALL,T0093,28.2,70.1,0.0
CPU_ALL,T0094,28.9,69.2,0.1
CPU_ALL,T0095,29.4,67.2,0.0
CPU_ALL,T0096,29.0,68.1,0.0
CPU_ALL,T0097,29.7,66.2,0.1
CPU_ALL,T0098,29.5,68.2,0.0
CPU_ALL,T0099,29.6,68.2,0.0
CPU_ALL,T0100,29.3,68.0,0.0
CPU_ALL,T0101,29.3,66.8,0.1
CPU_ALL,T0102,29.3,68.1,0.0
CPU_ALL,T0103,29.5,68.0,0.0
CPU_ALL,T0104,29.6,68.1,0.1
CPU_ALL,T0105,29.8,68.3,0.0
CPU_ALL,T0106,28.4,69.2,0.0
CPU_ALL,T0107,29.9,67.0,0.0
CPU_ALL,T0108,29.7,68.7,0.0
CPU_ALL,T0109,29.5,68.2,0.0
CPU_ALL,T0110,29.5,68.3,0.1
CPU_ALL,T0111,29.6,68.1,0.0
CPU_ALL,T0112,30.0,67.0,0.0
CPU_ALL,T0113,30.2,67.4,0.0
CPU_ALL,T0114,30.3,67.2,0.1
CPU_ALL,T0115,29.7,67.2,0.0
CPU_ALL,T0116,29.8,68.1,0.0
CPU_ALL,T0117,29.6,68.5,0.0
CPU_ALL,T0118,29.2,67.7,0.1
CPU_ALL,T0119,30.1,68.0,0.0
CPU_ALL,T0120,30.1,67.3,0.0
CPU_ALL,T0121,30.0,67.6,0.0
CPU_ALL,T0122,29.7,66.9,0.1
CPU_ALL,T0123,28.9,66.9,0.0
CPU_ALL,T0124,30.1,67.5,0.0
CPU_ALL,T0125,29.6,68.4,0.1
CPU_ALL,T0126,29.4,68.0,0.0
CPU_ALL,T0127,28.5,68.9,0.0
CPU_ALL,T0128,29.1,69.0,0.0
CPU_ALL,T0129,29.5,68.8,0.0
