MEM,Memory MB TI6304006020866,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
MEM,T0001,15677.5,-0.0,-0.0,1956.0,7222.8,-0.0,-0.0,1956.0,179.1,4191.8,2811.0,-1.0,474.0,0.0,3295.0
MEM,T0002,15677.5,-0.0,-0.0,1956.0,6919.1,-0.0,-0.0,1956.0,155.1,4167.8,3122.4,-1.0,474.0,0.0,3295.0
MEM,T0003,15677.5,-0.0,-0.0,1956.0,6697.5,-0.0,-0.0,1956.0,155.1,4167.8,3315.6,-1.0,474.0,0.0,3295.0
MEM,T0004,15677.5,-0.0,-0.0,1956.0,6597.4,-0.0,-0.0,1956.0,155.1,4168.3,3322.8,-1.0,474.0,0.0,3295.5
MEM,T0005,15677.5,-0.0,-0.0,1956.0,6452.0,-0.0,-0.0,1956.0,155.1,4169.0,3374.1,-1.0,474.0,0.0,3296.2
MEM,T0006,15677.5,-0.0,-0.0,1956.0,6300.0,-0.0,-0.0,1956.0,155.1,4169.7,3424.2,-1.0,474.0,0.0,3296.9
MEM,T0007,15677.5,-0.0,-0.0,1956.0,6187.5,-0.0,-0.0,1956.0,155.1,4170.4,3467.2,-1.0,474.0,0.0,3297.6
MEM,T0008,15677.5,-0.0,-0.0,1956.0,6092.0,-0.0,-0.0,1956.0,155.1,4170.9,3497.0,-1.0,474.0,0.0,3298.1
MEM,T0009,15677.5,-0.0,-0.0,1956.0,6074.0,-0.0,-0.0,1956.0,155.1,4171.5,3525.1,-1.0,474.0,0.0,3298.7
MEM,T0010,15677.5,-0.0,-0.0,1956.0,5748.1,-0.0,-0.0,1956.0,163.1,4180.1,3701.3,-1.0,474.0,0.0,3299.3
MEM,T0011,15677.5,-0.0,-0.0,1956.0,5355.1,-0.0,-0.0,1956.0,175.1,4193.0,3953.8,-1.0,474.0,0.0,3299.9
MEM,T0012,15677.5,-0.0,-0.0,1956.0,5097.7,-0.0,-0.0,1956.0,351.4,4370.5,4001.3,-1.0,474.0,0.0,3300.7
MEM,T0013,15677.5,-0.0,-0.0,1956.0,4819.4,-0.0,-0.0,1956.0,511.7,4531.4,4048.7,-1.0,474.0,0.0,3301.7
MEM,T0014,15677.5,-0.0,-0.0,1956.0,4805.8,-0.0,-0.0,1956.0,388.0,4407.8,4081.6,-1.0,474.0,0.0,3302.0
MEM,T0015,15677.5,-0.0,-0.0,1956.0,4675.1,-0.0,-0.0,1956.0,399.9,4420.4,4112.2,-1.0,474.0,0.0,3302.5
MEM,T0016,15677.5,-0.0,-0.0,1956.0,4440.7,-0.0,-0.0,1956.0,519.9,4541.1,4150.5,-1.0,474.0,0.0,3303.4
MEM,T0017,15677.5,-0.0,-0.0,1956.0,4410.3,-0.0,-0.0,1956.0,452.4,4474.0,4186.9,-1.0,474.0,0.0,3303.6
MEM,T0018,15677.5,-0.0,-0.0,1956.0,4348.0,-0.0,-0.0,1956.0,424.1,4446.4,4221.7,-1.0,474.0,0.0,3304.2
MEM,T0019,15677.5,-0.0,-0.0,1956.0,4315.3,-0.0,-0.0,1956.0,371.9,4394.2,4247.4,-1.0,474.0,0.0,3304.5
MEM,T0020,15677.5,-0.0,-0.0,1956.0,4289.0,-0.0,-0.0,1956.0,371.9,4394.3,4258.9,-1.0,474.0,0.0,3304.8
MEM,T0021,15677.5,-0.0,-0.0,1956.0,4456.0,-0.0,-0.0,1956.0,168.2,4190.9,4276.2,-1.0,474.0,0.0,3305.0
MEM,T0022,15677.5,-0.0,-0.0,1956.0,4446.6,-0.0,-0.0,1956.0,168.6,4191.5,4299.7,-1.0,474.0,0.0,3305.2
MEM,T0023,15677.5,-0.0,-0.0,1956.0,4432.1,-0.0,-0.0,1956.0,160.2,4183.2,4313.7,-1.0,474.0,0.0,3305.3
MEM,T0024,15677.5,-0.0,-0.0,1956.0,4416.0,-0.0,-0.0,1956.0,177.9,4201.3,4335.6,-1.0,474.0,0.0,3305.8
MEM,T0025,15677.5,-0.0,-0.0,1956.0,4391.4,-0.0,-0.0,1956.0,185.3,4208.9,4351.5,-1.0,474.0,0.0,3305.9
MEM,T0026,15677.5,-0.0,-0.0,1956.0,4375.6,-0.0,-0.0,1956.0,183.1,4207.0,4373.3,-1.0,474.0,0.0,3306.2
MEM,T0027,15677.5,-0.0,-0.0,1956.0,4353.6,-0.0,-0.0,1956.0,159.0,4183.4,4395.0,-1.0,474.0,0.0,3306.8
MEM,T0028,15677.5,-0.0,-0.0,1956.0,4316.0,-0.0,-0.0,1956.0,165.5,4190.8,4409.8,-1.0,474.0,0.0,3306.8
MEM,T0029,15677.5,-0.0,-0.0,1956.0,4295.2,-0.0,-0.0,1956.0,174.3,4199.2,4426.2,-1.0,474.0,0.0,3307.3
MEM,T0030,15677.5,-0.0,-0.0,1956.0,4287.2,-0.0,-0.0,1956.0,173.8,4199.2,4442.9,-1.0,474.0,0.0,3307.8
MEM,T0031,15677.5,-0.0,-0.0,1956.0,4250.4,-0.0,-0.0,1956.0,179.2,4204.8,4457.6,-1.0,474.0,0.0,3307.9
MEM,T0032,15677.5,-0.0,-0.0,1956.0,4332.3,-0.0,-0.0,1956.0,179.5,4206.4,4447.8,-1.0,474.0,0.0,3309.0
MEM,T0033,15677.5,-0.0,-0.0,1956.0,4554.1,-0.0,-0.0,1956.0,169.3,4196.8,4408.6,-1.0,474.0,0.0,3309.9
MEM,T0034,15677.5,-0.0,-0.0,1956.0,4622.4,-0.0,-0.0,1956.0,179.2,4207.6,4372.2,-1.0,474.0,0.0,3310.5
MEM,T0035,15677.5,-0.0,-0.0,1956.0,4595.3,-0.0,-0.0,1956.0,185.2,4213.7,4377.0,-1.0,474.1,0.0,3310.8
MEM,T0036,15677.5,-0.0,-0.0,1956.0,4595.1,-0.0,-0.0,1956.0,187.1,4215.8,4377.8,-1.0,474.1,0.0,3311.0
MEM,T0037,15677.5,-0.0,-0.0,1956.0,4590.0,-0.0,-0.0,1956.0,185.2,4214.3,4378.2,-1.0,474.1,0.0,3311.4
MEM,T0038,15677.5,-0.0,-0.0,1956.0,4608.8,-0.0,-0.0,1956.0,169.2,4198.4,4378.8,-1.0,474.1,0.0,3311.5
MEM,T0039,15677.5,-0.0,-0.0,1956.0,4606.8,-0.0,-0.0,1956.0,173.2,4202.4,4378.8,-1.0,474.1,0.0,3311.5
MEM,T0040,15677.5,-0.0,-0.0,1956.0,4601.9,-0.0,-0.0,1956.0,177.7,4206.9,4379.0,-1.0,474.1,0.0,3311.5
MEM,T0041,15677.5,-0.0,-0.0,1956.0,4605.9,-0.0,-0.0,1956.0,173.6,4202.8,4378.9,-1.0,474.1,0.0,3311.6
MEM,T0042,15677.5,-0.0,-0.0,1956.0,4618.4,-0.0,-0.0,1956.0,157.1,4186.3,4379.0,-1.0,474.1,0.0,3311.6
MEM,T0043,15677.5,-0.0,-0.0,1956.0,4565.0,-0.0,-0.0,1956.0,213.4,4242.6,4379.0,-1.0,474.1,0.0,3311.6
MEM,T0044,15677.5,-0.0,-0.0,1956.0,4490.0,-0.0,-0.0,1956.0,289.8,4319.0,4378.9,-1.0,474.1,0.0,3311.6
MEM,T0045,15677.5,-0.0,-0.0,1956.0,4504.3,-0.0,-0.0,1956.0,277.8,4307.0,4378.9,-1.0,474.1,0.0,3311.6
MEM,T0046,15677.5,-0.0,-0.0,1956.0,4529.4,-0.0,-0.0,1956.0,251.8,4281.0,4378.9,-1.0,474.1,0.0,3311.6
MEM,T0047,15677.5,-0.0,-0.0,1956.0,4584.3,-0.0,-0.0,1956.0,199.6,4228.8,4379.2,-1.0,474.1,0.0,3311.6
MEM,T0048,15677.5,-0.0,-0.0,1956.0,4584.3,-0.0,-0.0,1956.0,199.6,4228.8,4379.2,-1.0,474.1,0.0,3311.6
