CPU_ALL,CPU Total TI6304006020866,User%,Sys%,Wait%
CPU_ALL,T0001,11.6,3.4,1.4
CPU_ALL,T0002,7.8,0.7,0.0
CPU_ALL,T0003,8.4,3.0,0.0
CPU_ALL,T0004,10.3,8.9,0.0
CPU_ALL,T0005,11.5,10.4,0.6
CPU_ALL,T0006,11.2,11.1,0.0
CPU_ALL,T0007,13.1,12.8,0.0
CPU_ALL,T0008,12.9,12.1,0.0
CPU_ALL,T0009,21.2,26.5,0.0
CPU_ALL,T0010,36.7,11.9,0.1
CPU_ALL,T0011,34.1,15.8,0.1
CPU_ALL,T0012,24.1,26.1,0.1
CPU_ALL,T0013,20.5,35.0,0.2
CPU_ALL,T0014,19.1,70.5,0.0
CPU_ALL,T0015,19.3,41.6,0.2
CPU_ALL,T0016,18.3,60.8,0.1
CPU_ALL,T0017,18.4,52.2,0.2
CPU_ALL,T0018,17.6,63.0,0.1
CPU_ALL,T0019,17.2,67.6,0.0
CPU_ALL,T0020,15.0,82.1,0.0
CPU_ALL,T0021,11.3,77.3,0.0
CPU_ALL,T0022,13.7,83.1,0.0
CPU_ALL,T0023,9.8,79.0,0.0
CPU_ALL,T0024,8.7,77.4,0.0
CPU_ALL,T0025,10.7,81.8,0.0
CPU_ALL,T0026,10.2,76.6,0.3
CPU_ALL,T0027,9.5,73.4,0.0
CPU_ALL,T0028,8.3,72.4,0.0
CPU_ALL,T0029,7.6,73.2,0.0
CPU_ALL,T0030,9.0,65.3,0.0
CPU_ALL,T0031,10.5,55.1,0.0
CPU_ALL,T0032,11.4,41.4,0.0
CPU_ALL,T0033,7.5,42.0,0.0
CPU_ALL,T0034,3.9,13.9,0.0
CPU_ALL,T0035,11.9,57.3,0.0
CPU_ALL,T0036,17.4,45.1,0.2
CPU_ALL,T0037,20.9,76.2,0.1
CPU_ALL,T0038,20.9,76.8,0.0
CPU_ALL,T0039,22.8,75.9,0.0
CPU_ALL,T0040,21.0,78.2,0.0
CPU_ALL,T0041,20.2,79.4,0.0
CPU_ALL,T0042,21.1,78.9,0.0
CPU_ALL,T0043,22.1,76.8,0.0
CPU_ALL,T0044,20.6,78.5,0.0
CPU_ALL,T0045,21.7,78.3,0.0
CPU_ALL,T0046,22.1,77.7,0.0
CPU_ALL,T0047,21.3,78.7,0.0
CPU_ALL,T0048,20.5,78.3,0.0
CPU_ALL,T0049,22.0,78.0,0.0
CPU_ALL,T0050,21.2,77.9,0.0
CPU_ALL,T0051,20.5,79.1,0.0
CPU_ALL,T0052,20.5,79.3,0.0
CPU_ALL,T0053,20.5,79.1,0.0
CPU_ALL,T0054,20.7,79.1,0.0
CPU_ALL,T0055,21.0,78.8,0.0
CPU_ALL,T0056,21.0,78.3,0.0
CPU_ALL,T0057,22.2,77.8,0.0
CPU_ALL,T0058,20.6,78.6,0.0
CPU_ALL,T0059,20.9,77.7,0.0
CPU_ALL,T0060,21.8,78.2,0.0
CPU_ALL,T0061,21.6,77.7,0.0
CPU_ALL,T0062,19.5,75.0,0.0
CPU_ALL,T0063,21.3,78.6,0.0
CPU_ALL,T0064,22.3,77.7,0.0
CPU_ALL,T0065,21.5,78.2,0.0
CPU_ALL,T0066,21.1,78.3,0.0
CPU_ALL,T0067,21.4,78.5,0.0
CPU_ALL,T0068,21.6,77.9,0.0
CPU_ALL,T0069,21.5,78.0,0.0
CPU_ALL,T0070,23.6,75.6,0.0
CPU_ALL,T0071,27.1,72.6,0.0
CPU_ALL,T0072,29.1,69.9,0.0
CPU_ALL,T0073,28.4,69.7,0.0
CPU_ALL,T0074,28.9,69.7,0.0
CPU_ALL,T0075,28.7,69.9,0.0
CPU_ALL,T0076,30.1,68.4,0.1
CPU_ALL,T0077,29.8,68.7,0.0
CPU_ALL,T0078,29.2,69.3,0.0
CPU_ALL,T0079,29.0,69.3,0.0
CPU_ALL,T0080,29.8,67.7,0.0
CPU_ALL,T0081,29.0,64.7,0.1
CPU_ALL,T0082,29.5,66.9,0.0
CPU_ALL,T0083,29.8,68.3,0.0
CPU_ALL,T0084,29.4,69.2,0.0
CPU_ALL,T0085,29.3,68.0,0.1
CPU_ALL,T0086,29.6,68.7,0.0
CPU_ALL,T0087,33.9,63.7,0.0
CPU_ALL,T0088,29.1,69.2,0.0
CPU_ALL,T0089,29.1,69.3,0.0
CPU_ALL,T0090,29.4,68.2,0.0
CPU_ALL,T0091,29.0,69.2,0.0
CPU_ALL,T0092,28.8,69.6,0.1
CPU_ALL,T0093,29.0,68.8,0.0
CPU_ALL,T0094,29.6,68.9,0.0
CPU_ALL,T0095,29.2,67.6,0.0
CPU_ALL,T0096,28.6,69.1,0.1
CPU_ALL,T0097,30.6,67.9,0.0
CPU_ALL,T0098,29.6,67.9,0.0
CPU_ALL,T0099,29.1,67.6,0.0
CPU_ALL,T0100,29.0,69.8,0.0
CPU_ALL,T0101,28.6,69.9,0.0
CPU_ALL,T0102,30.1,67.7,0.1
CPU_ALL,T0103,30.2,67.7,0.0
CPU_ALL,T0104,29.3,68.8,0.0
CPU_ALL,T0105,29.7,69.2,0.0
CPU_ALL,T0106,28.0,70.4,0.0
CPU_ALL,T0107,30.2,67.3,0.1
CPU_ALL,T0108,28.4,69.8,0.0
CPU_ALL,T0109,29.5,68.7,0.0
CPU_ALL,T0110,28.3,69.4,0.0
CPU_ALL,T0111,28.8,69.2,0.0
CPU_ALL,T0112,28.5,68.6,0.0
CPU_ALL,T0113,29.4,68.4,0.1
CPU_ALL,T0114,29.5,69.1,0.0
CPU_ALL,T0115,30.4,68.3,0.0
CPU_ALL,T0116,29.0,69.3,0.0
CPU_ALL,T0117,28.4,69.7,0.0
CPU_ALL,T0118,29.7,67.5,0.0
CPU_ALL,T0119,28.9,68.6,0.0
CPU_ALL,T0120,28.6,69.1,0.1
CPU_ALL,T0121,28.5,69.7,0.0
CPU_ALL,T0122,29.6,68.8,0.0
CPU_ALL,T0123,29.1,68.2,0.0
CPU_ALL,T0124,29.4,68.4,0.1
CPU_ALL,T0125,29.5,67.6,0.0
CPU_ALL,T0126,29.9,68.2,0.0
CPU_ALL,T0127,30.6,67.0,0.1
CPU_ALL,T0128,29.1,68.4,0.0
CPU_ALL,T0129,29.8,68.3,0.0
CPU_ALL,T0130,29.3,67.4,0.1
CPU_ALL,T0131,19.9,78.0,0.0
CPU_ALL,T0132,21.2,77.8,0.0
CPU_ALL,T0133,21.5,77.5,0.0
CPU_ALL,T0134,19.6,76.7,0.0
CPU_ALL,T0135,21.8,77.9,0.0
