CPU_ALL,CPU Total TI6304006020866,User%,Sys%,Wait%
CPU_ALL,T0001,15.4,4.8,1.2
CPU_ALL,T0002,9.1,1.9,0.0
CPU_ALL,T0003,12.0,5.4,0.0
CPU_ALL,T0004,12.8,12.4,0.0
CPU_ALL,T0005,14.5,12.0,0.1
CPU_ALL,T0006,13.6,12.1,0.0
CPU_ALL,T0007,16.0,14.7,0.0
CPU_ALL,T0008,23.1,35.6,0.0
CPU_ALL,T0009,10.8,9.3,0.0
CPU_ALL,T0010,35.1,13.0,0.0
CPU_ALL,T0011,31.5,23.3,0.0
CPU_ALL,T0012,22.8,43.7,0.1
CPU_ALL,T0013,19.4,72.2,0.0
CPU_ALL,T0014,18.9,47.3,0.1
CPU_ALL,T0015,18.3,50.5,0.8
CPU_ALL,T0016,18.4,52.7,0.1
CPU_ALL,T0017,17.4,61.0,0.1
CPU_ALL,T0018,17.0,62.7,0.1
CPU_ALL,T0019,15.0,81.5,0.0
CPU_ALL,T0020,12.3,84.2,0.0
CPU_ALL,T0021,13.4,84.4,0.0
CPU_ALL,T0022,11.5,86.4,0.0
CPU_ALL,T0023,8.6,74.2,0.0
CPU_ALL,T0024,9.0,78.7,0.0
CPU_ALL,T0025,9.8,74.4,0.2
CPU_ALL,T0026,8.9,78.3,0.0
CPU_ALL,T0027,8.3,70.6,0.0
CPU_ALL,T0028,7.4,71.1,0.0
CPU_ALL,T0029,8.0,68.0,0.0
CPU_ALL,T0030,9.6,66.0,0.6
CPU_ALL,T0031,11.4,44.7,0.0
CPU_ALL,T0032,10.4,53.1,0.0
CPU_ALL,T0033,4.0,8.6,0.0
CPU_ALL,T0034,6.6,31.0,0.0
CPU_ALL,T0035,10.8,56.5,0.1
CPU_ALL,T0036,21.8,67.1,0.1
CPU_ALL,T0037,22.0,76.0,0.0
CPU_ALL,T0038,20.8,77.3,0.0
CPU_ALL,T0039,21.0,79.0,0.0
CPU_ALL,T0040,20.3,78.9,0.0
CPU_ALL,T0041,21.5,78.5,0.0
CPU_ALL,T0042,20.7,76.1,0.0
CPU_ALL,T0043,20.2,79.1,0.0
CPU_ALL,T0044,20.2,79.6,0.0
CPU_ALL,T0045,20.8,79.1,0.0
CPU_ALL,T0046,21.2,78.7,0.0
CPU_ALL,T0047,19.5,76.6,0.0
CPU_ALL,T0048,20.3,79.2,0.0
CPU_ALL,T0049,21.5,78.3,0.0
CPU_ALL,T0050,21.7,78.2,0.0
CPU_ALL,T0051,21.3,78.1,0.0
CPU_ALL,T0052,21.1,78.9,0.0
CPU_ALL,T0053,21.3,77.4,0.0
CPU_ALL,T0054,21.4,78.2,0.0
CPU_ALL,T0055,21.1,78.4,0.0
CPU_ALL,T0056,20.0,79.6,0.0
CPU_ALL,T0057,21.4,78.6,0.0
CPU_ALL,T0058,20.0,79.0,0.0
CPU_ALL,T0059,20.3,79.2,0.0
CPU_ALL,T0060,21.1,78.9,0.0
CPU_ALL,T0061,20.4,78.9,0.0
CPU_ALL,T0062,20.5,79.1,0.0
CPU_ALL,T0063,20.0,79.2,0.0
CPU_ALL,T0064,20.1,78.8,0.0
CPU_ALL,T0065,19.4,79.4,0.0
CPU_ALL,T0066,20.8,78.2,0.0
CPU_ALL,T0067,21.5,78.4,0.0
CPU_ALL,T0068,20.5,79.0,0.0
CPU_ALL,T0069,20.8,78.0,0.0
CPU_ALL,T0070,23.3,75.0,0.1
CPU_ALL,T0071,27.2,71.4,0.0
CPU_ALL,T0072,28.5,67.8,0.0
CPU_ALL,T0073,29.5,69.1,0.0
CPU_ALL,T0074,29.3,69.2,0.0
CPU_ALL,T0075,28.2,70.5,0.0
CPU_ALL,T0076,28.2,70.3,0.1
CPU_ALL,T0077,29.2,69.3,0.0
CPU_ALL,T0078,29.0,69.0,0.0
