MEM,Memory MB TI6304006020866,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
MEM,T0001,15677.5,-0.0,-0.0,1956.0,7123.5,-0.0,-0.0,1956.0,187.1,4168.3,2827.2,-1.0,471.3,0.0,3261.5
MEM,T0002,15677.5,-0.0,-0.0,1956.0,6987.4,-0.0,-0.0,1956.0,159.1,4140.3,3066.6,-1.0,471.3,0.0,3261.5
MEM,T0003,15677.5,-0.0,-0.0,1956.0,6705.7,-0.0,-0.0,1956.0,155.1,4136.4,3334.5,-1.0,471.3,0.0,3261.6
MEM,T0004,15677.5,-0.0,-0.0,1956.0,6612.7,-0.0,-0.0,1956.0,155.1,4137.2,3336.6,-1.0,471.3,0.0,3262.3
MEM,T0005,15677.5,-0.0,-0.0,1956.0,6455.4,-0.0,-0.0,1956.0,155.1,4137.9,3390.1,-1.0,471.3,0.0,3263.1
MEM,T0006,15677.5,-0.0,-0.0,1956.0,6306.3,-0.0,-0.0,1956.0,155.1,4138.6,3440.3,-1.0,471.3,0.0,3263.7
MEM,T0007,15677.5,-0.0,-0.0,1956.0,6189.1,-0.0,-0.0,1956.0,155.1,4139.3,3500.1,-1.0,471.3,0.0,3264.4
MEM,T0008,15677.5,-0.0,-0.0,1956.0,6089.9,-0.0,-0.0,1956.0,155.1,4139.8,3528.3,-1.0,471.3,0.0,3265.0
MEM,T0009,15677.5,-0.0,-0.0,1956.0,6062.4,-0.0,-0.0,1956.0,155.1,4140.0,3553.9,-1.0,471.3,0.0,3265.2
MEM,T0010,15677.5,-0.0,-0.0,1956.0,5741.8,-0.0,-0.0,1956.0,163.1,4149.0,3734.6,-1.0,471.3,0.0,3266.2
MEM,T0011,15677.5,-0.0,-0.0,1956.0,5328.6,-0.0,-0.0,1956.0,216.1,4203.0,3995.9,-1.0,471.3,0.0,3267.2
MEM,T0012,15677.5,-0.0,-0.0,1956.0,5041.4,-0.0,-0.0,1956.0,412.3,4399.9,4046.3,-1.0,471.3,0.0,3267.9
MEM,T0013,15677.5,-0.0,-0.0,1956.0,4769.0,-0.0,-0.0,1956.0,540.3,4528.6,4089.7,-1.0,471.3,0.0,3268.5
