CPU_ALL,CPU Total TI6304006020866,User%,Sys%,Wait%
CPU_ALL,T0001,12.3,3.4,0.9
CPU_ALL,T0002,7.7,0.8,0.0
CPU_ALL,T0003,8.4,4.8,0.0
CPU_ALL,T0004,11.0,9.7,0.0
CPU_ALL,T0005,11.8,10.5,0.4
CPU_ALL,T0006,11.7,11.0,0.0
CPU_ALL,T0007,12.9,12.2,0.0
CPU_ALL,T0008,13.8,11.6,0.1
CPU_ALL,T0009,23.6,31.2,0.0
CPU_ALL,T0010,34.6,9.9,0.2
CPU_ALL,T0011,37.8,19.1,0.0
CPU_ALL,T0012,21.8,21.9,0.2
CPU_ALL,T0013,21.2,48.5,0.2
CPU_ALL,T0014,18.5,56.3,0.0
CPU_ALL,T0015,18.1,52.7,0.4
CPU_ALL,T0016,18.4,49.1,0.2
CPU_ALL,T0017,18.1,61.5,0.0
CPU_ALL,T0018,18.1,60.4,0.1
CPU_ALL,T0019,15.7,69.9,0.1
CPU_ALL,T0020,14.8,82.4,0.0
CPU_ALL,T0021,10.6,76.5,0.0
CPU_ALL,T0022,12.4,84.9,0.0
CPU_ALL,T0023,10.2,75.1,0.0
CPU_ALL,T0024,10.0,72.9,0.0
CPU_ALL,T0025,10.1,81.4,0.0
CPU_ALL,T0026,9.9,76.6,0.0
CPU_ALL,T0027,9.7,73.3,0.0
CPU_ALL,T0028,8.5,73.2,0.0
CPU_ALL,T0029,7.8,71.4,0.0
CPU_ALL,T0030,8.3,72.1,0.0
CPU_ALL,T0031,10.3,43.8,0.0
CPU_ALL,T0032,11.5,44.6,0.0
CPU_ALL,T0033,8.3,35.1,0.6
CPU_ALL,T0034,11.3,25.1,1.7
CPU_ALL,T0035,12.7,59.5,1.2
CPU_ALL,T0036,13.8,51.9,0.9
CPU_ALL,T0037,24.9,58.0,0.5
CPU_ALL,T0038,22.0,75.2,0.2
CPU_ALL,T0039,22.4,75.7,0.1
CPU_ALL,T0040,22.4,77.0,0.1
CPU_ALL,T0041,22.7,76.4,0.0
CPU_ALL,T0042,22.3,74.4,0.1
CPU_ALL,T0043,22.5,76.3,0.1
CPU_ALL,T0044,22.9,77.0,0.2
CPU_ALL,T0045,20.9,77.7,0.0
CPU_ALL,T0046,20.4,78.7,0.1
CPU_ALL,T0047,21.6,77.5,0.0
CPU_ALL,T0048,20.7,76.2,0.2
CPU_ALL,T0049,22.0,77.6,0.0
CPU_ALL,T0050,22.2,77.4,0.0
CPU_ALL,T0051,21.6,77.1,0.0
CPU_ALL,T0052,22.4,77.3,0.0
CPU_ALL,T0053,23.7,75.3,0.0
CPU_ALL,T0054,25.3,73.9,0.1
CPU_ALL,T0055,26.3,73.1,0.0
CPU_ALL,T0056,26.8,72.6,0.0
CPU_ALL,T0057,24.0,75.2,0.0
CPU_ALL,T0058,24.6,73.3,0.4
CPU_ALL,T0059,24.8,74.6,0.0
CPU_ALL,T0060,27.2,69.8,0.1
CPU_ALL,T0061,25.8,72.9,0.3
CPU_ALL,T0062,26.8,72.3,0.0
CPU_ALL,T0063,26.0,73.3,0.0
CPU_ALL,T0064,26.7,71.8,0.2
CPU_ALL,T0065,26.2,73.2,0.1
CPU_ALL,T0066,25.1,72.3,0.3
CPU_ALL,T0067,25.9,73.4,0.0
CPU_ALL,T0068,26.4,72.5,0.0
CPU_ALL,T0069,25.2,74.2,0.0
CPU_ALL,T0070,28.9,69.8,0.0
CPU_ALL,T0071,31.0,68.2,0.0
CPU_ALL,T0072,33.5,64.8,0.0
CPU_ALL,T0073,34.5,63.1,0.0
CPU_ALL,T0074,34.0,64.6,0.1
CPU_ALL,T0075,35.3,61.9,0.0
CPU_ALL,T0076,32.6,65.6,0.0
CPU_ALL,T0077,33.7,64.8,0.0
CPU_ALL,T0078,33.7,63.9,0.0
CPU_ALL,T0079,33.6,64.4,0.1
CPU_ALL,T0080,34.0,64.1,0.0
CPU_ALL,T0081,33.3,63.6,0.0
CPU_ALL,T0082,33.2,64.5,0.0
CPU_ALL,T0083,33.9,62.7,0.0
CPU_ALL,T0084,33.0,65.0,0.0
CPU_ALL,T0085,32.9,65.0,0.1
CPU_ALL,T0086,32.7,65.2,0.0
CPU_ALL,T0087,30.2,68.2,0.0
CPU_ALL,T0088,31.6,65.9,0.0
CPU_ALL,T0089,29.6,67.9,0.0
CPU_ALL,T0090,29.1,68.8,0.0
CPU_ALL,T0091,29.8,67.9,0.1
CPU_ALL,T0092,28.8,69.0,0.0
CPU_ALL,T0093,29.2,68.2,0.0
CPU_ALL,T0094,29.6,67.0,0.1
CPU_ALL,T0095,29.0,68.8,0.0
CPU_ALL,T0096,30.1,67.3,0.0
CPU_ALL,T0097,31.2,66.3,0.0
CPU_ALL,T0098,29.0,68.4,0.0
CPU_ALL,T0099,32.2,65.5,0.1
CPU_ALL,T0100,32.9,65.2,0.0
CPU_ALL,T0101,31.4,65.7,0.0
CPU_ALL,T0102,29.9,68.1,0.0
CPU_ALL,T0103,31.0,66.6,0.0
CPU_ALL,T0104,31.8,66.6,0.0
CPU_ALL,T0105,30.9,64.6,0.1
CPU_ALL,T0106,28.8,68.5,0.0
CPU_ALL,T0107,34.0,63.4,0.0
CPU_ALL,T0108,32.0,64.9,0.0
CPU_ALL,T0109,30.3,67.6,0.0
CPU_ALL,T0110,31.1,66.8,0.1
CPU_ALL,T0111,33.2,64.5,0.0
CPU_ALL,T0112,29.6,68.8,0.0
CPU_ALL,T0113,29.2,68.4,0.0
CPU_ALL,T0114,29.1,68.9,0.0
CPU_ALL,T0115,29.3,68.4,0.0
CPU_ALL,T0116,29.2,68.2,0.0
CPU_ALL,T0117,30.1,68.0,0.0
CPU_ALL,T0118,30.0,67.4,0.1
CPU_ALL,T0119,30.4,67.3,0.0
CPU_ALL,T0120,30.1,68.0,0.0
CPU_ALL,T0121,28.9,69.1,0.0
CPU_ALL,T0122,29.8,68.1,0.1
CPU_ALL,T0123,30.2,67.9,0.0
CPU_ALL,T0124,30.1,67.1,0.0
CPU_ALL,T0125,29.7,68.1,0.0
CPU_ALL,T0126,29.1,70.3,0.0
CPU_ALL,T0127,29.9,68.2,0.0
CPU_ALL,T0128,30.7,67.4,0.0
CPU_ALL,T0129,29.5,68.8,0.1
CPU_ALL,T0130,28.3,68.7,0.0
CPU_ALL,T0131,21.0,77.8,0.0
CPU_ALL,T0132,22.0,76.4,0.0
CPU_ALL,T0133,21.7,77.2,0.1
CPU_ALL,T0134,22.1,77.0,0.0
CPU_ALL,T0135,20.4,78.8,0.0
CPU_ALL,T0136,20.3,78.9,0.0
CPU_ALL,T0137,21.6,77.8,0.0
CPU_ALL,T0138,19.4,78.8,0.0
